"","condition","block_no","trial_no","trial_type","rt","emotion_rating","id","closeness","betas_PM_wtreatMINcon_TPJ","betas_PM_wtreatMINcon_IFG","facet","score"
"1","treatment","block 1",1,"1","5743",-0.309814785684319,"saulin_01_vp_01",0.184383078411893,0.096226,-0.019863,"EC",1.10766324611516
"2","treatment","block 1",1,"1","5743",-0.309814785684319,"saulin_01_vp_01",0.184383078411893,0.096226,-0.019863,"PT",0.699097381718325
"3","treatment","block 1",2,"2","5464",0.343463343222505,"saulin_01_vp_01",0.280781573688896,0.096226,-0.019863,"EC",1.10766324611516
"4","treatment","block 1",2,"2","5464",0.343463343222505,"saulin_01_vp_01",0.280781573688896,0.096226,-0.019863,"PT",0.699097381718325
"5","treatment","block 1",3,"1","4098",-0.788885413549324,"saulin_01_vp_01",-0.0566131597806136,0.096226,-0.019863,"EC",1.10766324611516
"6","treatment","block 1",3,"1","4098",-0.788885413549324,"saulin_01_vp_01",-0.0566131597806136,0.096226,-0.019863,"PT",0.699097381718325
"7","treatment","block 1",4,"1","2227",-0.745333538288869,"saulin_01_vp_01",0.184383078411893,0.096226,-0.019863,"EC",1.10766324611516
"8","treatment","block 1",4,"1","2227",-0.745333538288869,"saulin_01_vp_01",0.184383078411893,0.096226,-0.019863,"PT",0.699097381718325
"9","treatment","block 1",5,"1","4859",-1.18085229089342,"saulin_01_vp_01",0.4253793166044,0.096226,-0.019863,"EC",1.10766324611516
"10","treatment","block 1",5,"1","4859",-1.18085229089342,"saulin_01_vp_01",0.4253793166044,0.096226,-0.019863,"PT",0.699097381718325
"11","treatment","block 1",6,"1","2454",-0.963092914591143,"saulin_01_vp_01",0.666375554796906,0.096226,-0.019863,"EC",1.10766324611516
"12","treatment","block 1",6,"1","2454",-0.963092914591143,"saulin_01_vp_01",0.666375554796906,0.096226,-0.019863,"PT",0.699097381718325
"13","treatment","block 1",7,"1","4746",-0.963092914591143,"saulin_01_vp_01",0.666375554796906,0.096226,-0.019863,"EC",1.10766324611516
"14","treatment","block 1",7,"1","4746",-0.963092914591143,"saulin_01_vp_01",0.666375554796906,0.096226,-0.019863,"PT",0.699097381718325
"15","treatment","block 1",8,"1","3065",-1.18085229089342,"saulin_01_vp_01",0.907371792989413,0.096226,-0.019863,"EC",1.10766324611516
"16","treatment","block 1",8,"1","3065",-1.18085229089342,"saulin_01_vp_01",0.907371792989413,0.096226,-0.019863,"PT",0.699097381718325
"17","treatment","block 1",9,"2","4666",-0.658229787767959,"saulin_01_vp_01",0.907371792989413,0.096226,-0.019863,"EC",1.10766324611516
"18","treatment","block 1",9,"2","4666",-0.658229787767959,"saulin_01_vp_01",0.907371792989413,0.096226,-0.019863,"PT",0.699097381718325
