"","condition","block_no","trial_no","trial_type","rt","closeness","id","emotion_rating","closeness","pos_PNR"
"8","control","block 1",1,"1",2434,86,"md_as_12",1.21097512529845,-0.199838701028609,0.177211522409184
"15","control","block 1",2,"2",2818,69,"md_as_12",0.535020385529525,-0.028153236776841,0.177211522409184
"22","control","block 1",3,"1",3597,68,"md_as_12",0.495258342013705,0.0147681292861011,0.177211522409184
"29","control","block 1",4,"2",2553,62,"md_as_12",0.256686080918789,-0.113995968902725,0.177211522409184
"36","control","block 1",5,"1",1831,55,"md_as_12",-0.0216482236919461,0.0576894953490432,0.177211522409184
"43","control","block 1",6,"2",1957,72,"md_as_12",0.654306516076983,-0.028153236776841,0.177211522409184
"50","control","block 1",7,"1",2438,65,"md_as_12",0.375972211466247,-0.071074602839783,0.177211522409184
"57","control","block 1",8,"2",1654,66,"md_as_12",0.415734254982067,0.143532227474927,0.177211522409184
"64","control","block 1",9,"1",3306,65,"md_as_12",0.375972211466247,-0.113995968902725,0.177211522409184
"71","control","block 1",10,"2",2289,62,"md_as_12",0.256686080918789,-0.028153236776841,0.177211522409184
"78","control","block 1",11,"1",2109,80,"md_as_12",0.972402864203538,0.100610861411985,0.177211522409184
"85","control","block 1",12,"1",1936,73,"md_as_12",0.694068559592802,0.0147681292861011,0.177211522409184
"92","control","block 1",13,"2",1482,73,"md_as_12",0.694068559592802,-0.028153236776841,0.177211522409184
"99","control","block 1",14,"2",2511,57,"md_as_12",0.0578758633396926,-0.242760067091551,0.177211522409184
"106","control","block 1",15,"1",1418,55,"md_as_12",-0.0216482236919461,-0.41444553134332,0.177211522409184
"113","control","block 1",16,"2",2116,77,"md_as_12",0.85311673365608,0.272296325663754,0.177211522409184
"120","control","block 1",17,"1",2939,77,"md_as_12",0.85311673365608,0.0147681292861011,0.177211522409184
"127","control","block 1",18,"1",2106,72,"md_as_12",0.654306516076983,0.0147681292861011,0.177211522409184
"134","control","block 1",19,"2",2004,75,"md_as_12",0.773592646624441,0.358139057789638,0.177211522409184
"141","control","block 1",20,"2",2552,75,"md_as_12",0.773592646624441,0.61566725416729,0.177211522409184
"148","control","block 1",21,"1",3141,82,"md_as_12",1.05192695123518,-0.113995968902725,0.177211522409184
"155","control","block 1",22,"2",1470,77,"md_as_12",0.85311673365608,-0.028153236776841,0.177211522409184
"162","control","block 1",23,"1",1941,76,"md_as_12",0.81335469014026,0.0576894953490432,0.177211522409184
"169","control","block 1",24,"2",2933,85,"md_as_12",1.17121308178263,0.0576894953490432,0.177211522409184
"176","control","block 1",25,"2",3696,87,"md_as_12",1.25073716881427,-1.91669334354629,0.177211522409184
"184","control","block 2",1,"1",1769,61,"md_as_12",0.21692403740297,0.358139057789638,0.177211522409184
"191","control","block 2",2,"2",1777,71,"md_as_12",0.614544472561164,0.0147681292861011,0.177211522409184
"198","control","block 2",3,"1",3341,78,"md_as_12",0.892878777171899,0.100610861411985,0.177211522409184
"205","control","block 2",4,"2",1803,64,"md_as_12",0.336210167950428,-0.371524165280378,0.177211522409184
"212","control","block 2",5,"1",1819,70,"md_as_12",0.574782429045344,-0.113995968902725,0.177211522409184
"219","control","block 2",6,"2",2773,73,"md_as_12",0.694068559592802,-0.113995968902725,0.177211522409184
"226","control","block 2",7,"1",3528,83,"md_as_12",1.091688994751,-0.113995968902725,0.177211522409184
"233","control","block 2",8,"2",3143,73,"md_as_12",0.694068559592802,-0.199838701028609,0.177211522409184
"240","control","block 2",9,"1",2734,73,"md_as_12",0.694068559592802,-0.285681433154493,0.177211522409184
"247","control","block 2",10,"2",2659,79,"md_as_12",0.932640820687718,-0.071074602839783,0.177211522409184
"254","control","block 2",11,"1",2161,80,"md_as_12",0.972402864203538,-0.242760067091551,0.177211522409184
"261","control","block 2",12,"1",1398,68,"md_as_12",0.495258342013705,-0.242760067091551,0.177211522409184
"268","control","block 2",13,"1",1549,69,"md_as_12",0.535020385529525,-0.62905236165803,0.177211522409184
"275","control","block 2",14,"2",2657,73,"md_as_12",0.694068559592802,-0.156917334965667,0.177211522409184
"282","control","block 2",15,"1",3280,78,"md_as_12",0.892878777171899,-0.371524165280378,0.177211522409184
"289","control","block 2",16,"2",1397,78,"md_as_12",0.892878777171899,0.143532227474927,0.177211522409184
"296","control","block 2",17,"1",1304,69,"md_as_12",0.535020385529525,-0.113995968902725,0.177211522409184
"303","control","block 2",18,"1",2192,79,"md_as_12",0.932640820687718,-0.028153236776841,0.177211522409184
"310","control","block 2",19,"2",2189,70,"md_as_12",0.574782429045344,0.143532227474927,0.177211522409184
"317","control","block 2",20,"2",1677,71,"md_as_12",0.614544472561164,-0.071074602839783,0.177211522409184
"324","control","block 2",21,"1",3396,80,"md_as_12",0.972402864203538,-0.242760067091551,0.177211522409184
"331","control","block 2",22,"2",3342,81,"md_as_12",1.01216490771936,-0.586130995595088,0.177211522409184
"338","control","block 2",23,"1",1214,68,"md_as_12",0.495258342013705,-0.543209629532146,0.177211522409184
"345","control","block 2",24,"2",1353,80,"md_as_12",0.972402864203538,0.272296325663754,0.177211522409184
"352","control","block 2",25,"2",1190,70,"md_as_12",0.574782429045344,-0.242760067091551,0.177211522409184
"360","treatment","block 1",1,"1",3824,89,"md_as_12",1.33026125584591,0.0147681292861011,0.177211522409184
