"","condition","block_no","trial_no","trial_type","rt","emotion_rating","id","EC","PT","sample","closeness"
"1","treatment","block 1",1,"1","3228",-1.54292052819044,"md_as_01",1.71550299631138,21,"behavior",-1.02180054096217
"2","treatment","block 1",2,"2","2052",1.69196487801719,"md_as_01",1.71550299631138,21,"behavior",-0.743357358341985
"3","treatment","block 1",3,"1","5206",-1.2004032498861,"md_as_01",1.71550299631138,21,"behavior",-0.743357358341985
"4","treatment","block 1",4,"1","2223",-1.50486305282329,"md_as_01",1.71550299631138,21,"behavior",-0.975393343858802
"5","treatment","block 1",5,"1","4327",-1.3526331513547,"md_as_01",1.71550299631138,21,"behavior",-0.325692584411715
"6","treatment","block 1",6,"1","4240",-1.3526331513547,"md_as_01",1.71550299631138,21,"behavior",-0.604135767031895
"7","treatment","block 1",7,"1","905",-1.58097800355759,"md_as_01",1.71550299631138,21,"behavior",-1.30024372358234
"8","treatment","block 1",8,"1","2778",-1.46680557745615,"md_as_01",1.71550299631138,21,"behavior",-0.279285387308352
"9","treatment","block 1",9,"2","2301",1.84419477948579,"md_as_01",1.71550299631138,21,"behavior",-0.140063795998262
"10","treatment","block 1",10,"1","4326",-1.2765182006204,"md_as_01",1.71550299631138,21,"behavior",-0.464914175721805
"11","treatment","block 1",11,"2","1545",1.84419477948579,"md_as_01",1.71550299631138,21,"behavior",0.416822569242098
"12","treatment","block 1",12,"1","3615",-1.2765182006204,"md_as_01",1.71550299631138,21,"behavior",-0.000842204688172226
"13","treatment","block 1",13,"1","4870",-1.2765182006204,"md_as_01",1.71550299631138,21,"behavior",0.0455649924151911
"14","treatment","block 1",14,"1","3163",-1.39069062672185,"md_as_01",1.71550299631138,21,"behavior",0.277600977932008
"15","treatment","block 1",15,"1","2401",-1.3526331513547,"md_as_01",1.71550299631138,21,"behavior",0.324008175035371
"16","treatment","block 1",16,"1","3347",-1.12428829915181,"md_as_01",1.71550299631138,21,"behavior",0.277600977932008
"17","treatment","block 1",17,"2","3511",1.38750507508001,"md_as_01",1.71550299631138,21,"behavior",0.0455649924151911
"18","treatment","block 1",18,"1","2543",-1.12428829915181,"md_as_01",1.71550299631138,21,"behavior",-0.000842204688172226
"19","treatment","block 1",19,"1","3194",-0.934000922316064,"md_as_01",1.71550299631138,21,"behavior",0.416822569242098
"20","treatment","block 1",20,"1","3611",-0.667598594746023,"md_as_01",1.71550299631138,21,"behavior",-0.464914175721805
"21","treatment","block 1",21,"2","3249",1.5397349765486,"md_as_01",1.71550299631138,21,"behavior",-0.372099781515079
"22","treatment","block 1",22,"1","3696",-0.781771020847469,"md_as_01",1.71550299631138,21,"behavior",-0.186470993101625
"23","treatment","block 1",23,"1","4822",-1.04817334841751,"md_as_01",1.71550299631138,21,"behavior",-0.650542964135259
"24","treatment","block 1",24,"1","5452",-0.705656070113172,"md_as_01",1.71550299631138,21,"behavior",-0.279285387308352
"25","treatment","block 1",25,"1","4844",-1.3526331513547,"md_as_01",1.71550299631138,21,"behavior",-0.418506978618442
"26","treatment","block 2",1,"2","3385",0.892757895307073,"md_as_01",1.71550299631138,21,"behavior",-0.0472494017915355
"27","treatment","block 2",2,"1","2724",-1.08623082378466,"md_as_01",1.71550299631138,21,"behavior",-0.372099781515079
"28","treatment","block 2",3,"2","3400",1.42556255044715,"md_as_01",1.71550299631138,21,"behavior",-0.0936565988948988
"29","treatment","block 2",4,"2","1624",1.38750507508001,"md_as_01",1.71550299631138,21,"behavior",0.277600977932008
"30","treatment","block 2",5,"2","1689",1.57779245191575,"md_as_01",1.71550299631138,21,"behavior",-0.000842204688172226
"31","treatment","block 2",6,"2","1709",1.80613730411864,"md_as_01",1.71550299631138,21,"behavior",-0.000842204688172226
"32","treatment","block 2",7,"2","4916",1.84419477948579,"md_as_01",1.71550299631138,21,"behavior",0.509636963448824
"33","treatment","block 2",8,"2","3542",1.80613730411864,"md_as_01",1.71550299631138,21,"behavior",0.602451357655551
"34","treatment","block 2",9,"1","1691",-1.04817334841751,"md_as_01",1.71550299631138,21,"behavior",0.370415372138734
"35","treatment","block 2",10,"2","1726",1.6158499272829,"md_as_01",1.71550299631138,21,"behavior",-0.511321372825169
"36","treatment","block 2",11,"1","4364",-1.3526331513547,"md_as_01",1.71550299631138,21,"behavior",0.184786583725281
"37","treatment","block 2",12,"2","1765",1.38750507508001,"md_as_01",1.71550299631138,21,"behavior",-0.0936565988948988
"38","treatment","block 2",13,"2","3925",0.930815370674221,"md_as_01",1.71550299631138,21,"behavior",-0.0936565988948988
"39","treatment","block 2",14,"2","1514",1.27333264897856,"md_as_01",1.71550299631138,21,"behavior",0.138379386621918
"40","treatment","block 2",15,"2","2438",1.38750507508001,"md_as_01",1.71550299631138,21,"behavior",0.184786583725281
"41","treatment","block 2",16,"2","3821",1.19721769824426,"md_as_01",1.71550299631138,21,"behavior",0.0455649924151911
"42","treatment","block 2",17,"1","2814",-0.743713545480321,"md_as_01",1.71550299631138,21,"behavior",-0.186470993101625
"43","treatment","block 2",18,"2","1268",1.12110274750996,"md_as_01",1.71550299631138,21,"behavior",-0.0472494017915355
"44","treatment","block 2",19,"2","3333",1.08304527214282,"md_as_01",1.71550299631138,21,"behavior",0.0919721895185544
"45","treatment","block 2",20,"2","2908",1.12110274750996,"md_as_01",1.71550299631138,21,"behavior",-0.0936565988948988
"46","treatment","block 2",21,"1","1835",-1.23846072525325,"md_as_01",1.71550299631138,21,"behavior",-0.186470993101625
"47","treatment","block 2",22,"2","3713",1.08304527214282,"md_as_01",1.71550299631138,21,"behavior",0.0455649924151911
"48","treatment","block 2",23,"2","1424",1.57779245191575,"md_as_01",1.71550299631138,21,"behavior",0.138379386621918
"49","treatment","block 2",24,"2","2270",1.42556255044715,"md_as_01",1.71550299631138,21,"behavior",0.0919721895185544
"50","treatment","block 2",25,"2","2900",1.12110274750996,"md_as_01",1.71550299631138,21,"behavior",0.0455649924151911
"51","control","block 1",1,"1","1839",-1.39069062672185,"md_as_01",1.71550299631138,21,"behavior",-0.325692584411715
"52","control","block 1",2,"2","3059",1.65390740265005,"md_as_01",1.71550299631138,21,"behavior",-0.232878190204989
"53","control","block 1",3,"1","2439",-0.591483644011726,"md_as_01",1.71550299631138,21,"behavior",0.138379386621918
"54","control","block 1",4,"2","3260",1.08304527214282,"md_as_01",1.71550299631138,21,"behavior",-0.511321372825169
"55","control","block 1",5,"1","2478",-0.667598594746023,"md_as_01",1.71550299631138,21,"behavior",-0.232878190204989
"56","control","block 1",6,"2","4647",1.5397349765486,"md_as_01",1.71550299631138,21,"behavior",-0.140063795998262
"57","control","block 1",7,"1","2880",-0.857885971581767,"md_as_01",1.71550299631138,21,"behavior",-0.0472494017915355
"58","control","block 1",8,"2","2417",1.42556255044715,"md_as_01",1.71550299631138,21,"behavior",0.138379386621918
"59","control","block 1",9,"1","1531",-1.08623082378466,"md_as_01",1.71550299631138,21,"behavior",-0.325692584411715
"60","control","block 1",10,"2","1537",1.4636200258143,"md_as_01",1.71550299631138,21,"behavior",-0.511321372825169
"61","control","block 1",11,"1","2411",-1.2765182006204,"md_as_01",1.71550299631138,21,"behavior",-0.418506978618442
"62","control","block 1",12,"1","1524",-1.16234577451896,"md_as_01",1.71550299631138,21,"behavior",0.370415372138734
"63","control","block 1",13,"2","4286",0.892757895307073,"md_as_01",1.71550299631138,21,"behavior",0.0919721895185544
"64","control","block 1",14,"2","1690",1.38750507508001,"md_as_01",1.71550299631138,21,"behavior",0.184786583725281
"65","control","block 1",15,"1","3898",-1.16234577451896,"md_as_01",1.71550299631138,21,"behavior",-0.0936565988948988
"66","control","block 1",16,"2","1626",1.34944759971286,"md_as_01",1.71550299631138,21,"behavior",-0.140063795998262
"67","control","block 1",17,"1","1888",-1.2765182006204,"md_as_01",1.71550299631138,21,"behavior",-0.232878190204989
"68","control","block 1",18,"1","5368",0.321895764799842,"md_as_01",1.71550299631138,21,"behavior",-0.418506978618442
"69","control","block 1",19,"2","3630",1.19721769824426,"md_as_01",1.71550299631138,21,"behavior",-0.557728569928532
"70","control","block 1",20,"2","3453",1.31139012434571,"md_as_01",1.71550299631138,21,"behavior",-0.0472494017915355
"71","control","block 1",21,"1","1670",-0.972058397683213,"md_as_01",1.71550299631138,21,"behavior",0.231193780828644
"72","control","block 1",22,"2","1392",1.42556255044715,"md_as_01",1.71550299631138,21,"behavior",0.277600977932008
"73","control","block 1",23,"1","4510",-1.23846072525325,"md_as_01",1.71550299631138,21,"behavior",0.184786583725281
"74","control","block 1",24,"2","3569",1.27333264897856,"md_as_01",1.71550299631138,21,"behavior",-0.511321372825169
"75","control","block 1",25,"2","1045",1.57779245191575,"md_as_01",1.71550299631138,21,"behavior",-0.372099781515079
"76","control","block 2",1,"1","2121",-1.04817334841751,"md_as_01",1.71550299631138,21,"behavior",-0.000842204688172226
"77","control","block 2",2,"2","2555",1.19721769824426,"md_as_01",1.71550299631138,21,"behavior",0.416822569242098
"78","control","block 2",3,"1","2373",-1.12428829915181,"md_as_01",1.71550299631138,21,"behavior",-0.279285387308352
"79","control","block 2",4,"2","1400",1.76807982875149,"md_as_01",1.71550299631138,21,"behavior",-0.325692584411715
"80","control","block 2",5,"1","3466",-0.934000922316064,"md_as_01",1.71550299631138,21,"behavior",-0.372099781515079
"81","control","block 2",6,"2","2944",0.854700419939924,"md_as_01",1.71550299631138,21,"behavior",-0.418506978618442
"82","control","block 2",7,"1","3412",-1.23846072525325,"md_as_01",1.71550299631138,21,"behavior",-0.511321372825169
"83","control","block 2",8,"2","3435",1.19721769824426,"md_as_01",1.71550299631138,21,"behavior",-0.0472494017915355
"84","control","block 2",9,"1","3461",-0.934000922316064,"md_as_01",1.71550299631138,21,"behavior",-0.186470993101625
"85","control","block 2",10,"2","1230",1.5397349765486,"md_as_01",1.71550299631138,21,"behavior",-0.0936565988948988
"86","control","block 2",11,"1","1141",-1.46680557745615,"md_as_01",1.71550299631138,21,"behavior",0.0919721895185544
"87","control","block 2",12,"1","2535",0.854700419939924,"md_as_01",1.71550299631138,21,"behavior",0.416822569242098
"88","control","block 2",13,"1","3347",-0.972058397683213,"md_as_01",1.71550299631138,21,"behavior",-0.0472494017915355
"89","control","block 2",14,"2","3302",1.15916022287711,"md_as_01",1.71550299631138,21,"behavior",-0.000842204688172226
"90","control","block 2",15,"1","4532",-1.2004032498861,"md_as_01",1.71550299631138,21,"behavior",-0.186470993101625
