"","trial_no","condition","block_no","id","closeness"
"1",1,"control","block 1","md_as_12",43
"2",1,"control","block 1","md_as_13",28
"3",1,"control","block 1","md_as_14",15
"4",1,"control","block 1","md_as_15",77
"5",1,"control","block 1","md_as_16",27
"6",1,"control","block 1","md_as_17",46
"7",1,"control","block 1","md_as_19",36
"8",1,"control","block 1","md_as_21",56
"9",1,"control","block 1","md_as_22",34
"10",1,"control","block 1","md_as_30",78
"11",1,"control","block 1","md_as_31",56
"12",1,"control","block 1","md_as_32",63
"13",1,"control","block 1","md_as_33",80
"14",1,"control","block 1","md_as_34",37
"15",1,"control","block 1","md_as_35",38
"16",1,"control","block 1","md_as_36",18
"17",1,"control","block 1","md_as_37",8
"18",1,"control","block 1","md_as_38",55
"19",1,"control","block 1","md_as_40",76
"20",1,"control","block 1","md_as_41",91
"21",1,"control","block 1","md_as_42",54
"22",1,"control","block 1","md_as_47",49
"23",1,"control","block 1","md_as_48",47
"24",1,"control","block 1","md_as_49",51
"25",1,"control","block 1","md_as_50",56
"26",1,"control","block 1","md_as_52",66
"27",1,"control","block 1","md_as_53",54
"28",1,"control","block 2","md_as_12",56
"29",1,"control","block 2","md_as_13",46
"30",1,"control","block 2","md_as_14",27
"31",1,"control","block 2","md_as_15",44
"32",1,"control","block 2","md_as_16",18
"33",1,"control","block 2","md_as_17",50
"34",1,"control","block 2","md_as_19",28
"35",1,"control","block 2","md_as_21",52
"36",1,"control","block 2","md_as_22",34
"37",1,"control","block 2","md_as_30",46
"38",1,"control","block 2","md_as_31",66
"39",1,"control","block 2","md_as_32",72
"40",1,"control","block 2","md_as_33",80
"41",1,"control","block 2","md_as_34",29
"42",1,"control","block 2","md_as_35",47
"43",1,"control","block 2","md_as_36",44
"44",1,"control","block 2","md_as_37",0
"45",1,"control","block 2","md_as_38",61
"46",1,"control","block 2","md_as_40",30
"47",1,"control","block 2","md_as_41",90
"48",1,"control","block 2","md_as_42",53
"49",1,"control","block 2","md_as_47",61
"50",1,"control","block 2","md_as_48",39
"51",1,"control","block 2","md_as_49",54
"52",1,"control","block 2","md_as_50",55
"53",1,"control","block 2","md_as_52",66
"54",1,"control","block 2","md_as_53",35
"55",1,"treatment","block 1","md_as_12",48
"56",1,"treatment","block 1","md_as_13",38
"57",1,"treatment","block 1","md_as_14",23
"58",1,"treatment","block 1","md_as_15",78
"59",1,"treatment","block 1","md_as_16",23
"60",1,"treatment","block 1","md_as_17",57
"61",1,"treatment","block 1","md_as_19",29
"62",1,"treatment","block 1","md_as_21",52
"63",1,"treatment","block 1","md_as_22",20
"64",1,"treatment","block 1","md_as_30",11
"65",1,"treatment","block 1","md_as_31",23
"66",1,"treatment","block 1","md_as_32",43
"67",1,"treatment","block 1","md_as_33",90
"68",1,"treatment","block 1","md_as_34",32
"69",1,"treatment","block 1","md_as_35",50
"70",1,"treatment","block 1","md_as_36",29
"71",1,"treatment","block 1","md_as_37",9
"72",1,"treatment","block 1","md_as_38",36
"73",1,"treatment","block 1","md_as_40",41
"74",1,"treatment","block 1","md_as_41",94
"75",1,"treatment","block 1","md_as_42",50
"76",1,"treatment","block 1","md_as_47",66
"77",1,"treatment","block 1","md_as_48",57
"78",1,"treatment","block 1","md_as_49",30
"79",1,"treatment","block 1","md_as_50",64
"80",1,"treatment","block 1","md_as_52",49
"81",1,"treatment","block 1","md_as_53",55
"82",1,"treatment","block 2","md_as_12",39
"83",1,"treatment","block 2","md_as_13",56
"84",1,"treatment","block 2","md_as_14",40
"85",1,"treatment","block 2","md_as_15",75
"86",1,"treatment","block 2","md_as_16",17
"87",1,"treatment","block 2","md_as_17",45
"88",1,"treatment","block 2","md_as_19",45
"89",1,"treatment","block 2","md_as_21",80
"90",1,"treatment","block 2","md_as_22",38
"91",1,"treatment","block 2","md_as_30",46
"92",1,"treatment","block 2","md_as_31",75
"93",1,"treatment","block 2","md_as_32",76
"94",1,"treatment","block 2","md_as_33",88
"95",1,"treatment","block 2","md_as_34",38
"96",1,"treatment","block 2","md_as_35",55
"97",1,"treatment","block 2","md_as_36",41
"98",1,"treatment","block 2","md_as_37",52
"99",1,"treatment","block 2","md_as_38",68
"100",1,"treatment","block 2","md_as_40",65
"101",1,"treatment","block 2","md_as_41",90
"102",1,"treatment","block 2","md_as_42",56
"103",1,"treatment","block 2","md_as_47",52
"104",1,"treatment","block 2","md_as_48",48
"105",1,"treatment","block 2","md_as_49",63
"106",1,"treatment","block 2","md_as_50",80
"107",1,"treatment","block 2","md_as_52",76
"108",1,"treatment","block 2","md_as_53",65
"109",2,"control","block 1","md_as_12",47
"110",2,"control","block 1","md_as_13",47
"111",2,"control","block 1","md_as_14",32
"112",2,"control","block 1","md_as_15",65
"113",2,"control","block 1","md_as_16",34
"114",2,"control","block 1","md_as_17",70
"115",2,"control","block 1","md_as_19",37
"116",2,"control","block 1","md_as_21",74
"117",2,"control","block 1","md_as_22",45
"118",2,"control","block 1","md_as_30",76
"119",2,"control","block 1","md_as_31",58
"120",2,"control","block 1","md_as_32",67
"121",2,"control","block 1","md_as_33",89
"122",2,"control","block 1","md_as_34",64
"123",2,"control","block 1","md_as_35",65
"124",2,"control","block 1","md_as_36",56
"125",2,"control","block 1","md_as_37",37
"126",2,"control","block 1","md_as_38",60
"127",2,"control","block 1","md_as_40",3
"128",2,"control","block 1","md_as_41",99
"129",2,"control","block 1","md_as_42",57
"130",2,"control","block 1","md_as_47",68
"131",2,"control","block 1","md_as_48",51
"132",2,"control","block 1","md_as_49",61
"133",2,"control","block 1","md_as_50",68
"134",2,"control","block 1","md_as_52",64
"135",2,"control","block 1","md_as_53",66
"136",2,"control","block 2","md_as_12",48
"137",2,"control","block 2","md_as_13",52
"138",2,"control","block 2","md_as_14",22
"139",2,"control","block 2","md_as_15",70
"140",2,"control","block 2","md_as_16",21
"141",2,"control","block 2","md_as_17",60
"142",2,"control","block 2","md_as_19",36
"143",2,"control","block 2","md_as_21",72
"144",2,"control","block 2","md_as_22",48
"145",2,"control","block 2","md_as_30",42
"146",2,"control","block 2","md_as_31",82
"147",2,"control","block 2","md_as_32",61
"148",2,"control","block 2","md_as_33",88
"149",2,"control","block 2","md_as_34",37
"150",2,"control","block 2","md_as_35",51
"151",2,"control","block 2","md_as_36",46
"152",2,"control","block 2","md_as_37",9
"153",2,"control","block 2","md_as_38",68
"154",2,"control","block 2","md_as_40",44
"155",2,"control","block 2","md_as_41",76
"156",2,"control","block 2","md_as_42",60
"157",2,"control","block 2","md_as_47",68
"158",2,"control","block 2","md_as_48",40
"159",2,"control","block 2","md_as_49",75
"160",2,"control","block 2","md_as_50",65
"161",2,"control","block 2","md_as_52",96
"162",2,"control","block 2","md_as_53",36
"163",2,"treatment","block 1","md_as_12",46
"164",2,"treatment","block 1","md_as_13",50
"165",2,"treatment","block 1","md_as_14",30
"166",2,"treatment","block 1","md_as_15",64
"167",2,"treatment","block 1","md_as_16",23
"168",2,"treatment","block 1","md_as_17",72
"169",2,"treatment","block 1","md_as_19",52
"170",2,"treatment","block 1","md_as_21",68
"171",2,"treatment","block 1","md_as_22",52
"172",2,"treatment","block 1","md_as_30",40
"173",2,"treatment","block 1","md_as_31",66
"174",2,"treatment","block 1","md_as_32",73
"175",2,"treatment","block 1","md_as_33",60
"176",2,"treatment","block 1","md_as_34",49
"177",2,"treatment","block 1","md_as_35",61
"178",2,"treatment","block 1","md_as_36",46
"179",2,"treatment","block 1","md_as_37",8
"180",2,"treatment","block 1","md_as_38",48
"181",2,"treatment","block 1","md_as_40",52
"182",2,"treatment","block 1","md_as_41",90
"183",2,"treatment","block 1","md_as_42",58
"184",2,"treatment","block 1","md_as_47",90
"185",2,"treatment","block 1","md_as_48",53
"186",2,"treatment","block 1","md_as_49",52
"187",2,"treatment","block 1","md_as_50",66
"188",2,"treatment","block 1","md_as_52",68
"189",2,"treatment","block 1","md_as_53",55
"190",2,"treatment","block 2","md_as_12",40
"191",2,"treatment","block 2","md_as_13",55
