"","trial_no","condition","block_no","id","closeness"
"1",1,"control",2,"saulin_01_vp_01",45
"2",1,"control",2,"saulin_01_vp_02",60
"3",1,"control",2,"saulin_01_vp_03",35
"4",1,"control",2,"saulin_01_vp_04",75
"5",1,"control",2,"saulin_01_vp_05",80
"6",1,"control",2,"saulin_01_vp_06",60
"7",1,"control",2,"saulin_01_vp_10",90
"8",1,"control",2,"saulin_01_vp_11",80
"9",1,"control",2,"saulin_01_vp_12",75
"10",1,"control",2,"saulin_01_vp_14",90
"11",1,"control",2,"saulin_01_vp_15",60
"12",1,"control",2,"saulin_01_vp_16",85
"13",1,"control",2,"saulin_01_vp_17",60
"14",1,"control",2,"saulin_01_vp_18",71
"15",1,"control",2,"saulin_01_vp_19",33
"16",1,"control",2,"saulin_01_vp_20",45
"17",1,"control",2,"saulin_01_vp_21",60
"18",1,"control",2,"saulin_01_vp_22",53
"19",1,"control",2,"saulin_01_vp_23",40
"20",1,"control",2,"saulin_01_vp_24",55
"21",1,"control",2,"saulin_01_vp_25",30
"22",1,"control",2,"saulin_01_vp_26",35
"23",1,"control",2,"saulin_01_vp_27",91
"24",1,"control",2,"saulin_01_vp_29",75
"25",1,"control",2,"saulin_01_vp_30",88
"26",1,"control",2,"saulin_01_vp_31",20
"27",1,"control",2,"saulin_01_vp_32",45
"28",1,"control",2,"saulin_01_vp_33",50
"29",1,"control",2,"saulin_01_vp_34",35
"30",1,"control",2,"saulin_01_vp_35",85
"31",1,"control",2,"saulin_01_vp_36",96
"32",1,"control",2,"saulin_01_vp_37",65
"33",1,"control",2,"saulin_01_vp_38",40
"34",1,"control",2,"saulin_01_vp_39",50
"35",1,"control",2,"saulin_01_vp_40",80
"36",1,"control",2,"saulin_01_vp_41",31
"37",1,"control",2,"saulin_01_vp_42",90
"38",1,"control",2,"saulin_01_vp_43",50
"39",1,"control",2,"saulin_01_vp_44",60
"40",1,"control",2,"saulin_01_vp_45",95
"41",1,"control",2,"saulin_01_vp_46",75
"42",1,"control",2,"saulin_01_vp_47",80
"43",1,"control",2,"saulin_01_vp_48",28
"44",1,"control",2,"saulin_01_vp_49",60
"45",1,"control",2,"saulin_01_vp_50",70
"46",1,"control",2,"saulin_01_vp_51",100
"47",1,"control",4,"saulin_01_vp_01",30
"48",1,"control",4,"saulin_01_vp_02",65
"49",1,"control",4,"saulin_01_vp_03",18
"50",1,"control",4,"saulin_01_vp_04",53
"51",1,"control",4,"saulin_01_vp_05",53
"52",1,"control",4,"saulin_01_vp_06",80
"53",1,"control",4,"saulin_01_vp_10",68
"54",1,"control",4,"saulin_01_vp_11",60
"55",1,"control",4,"saulin_01_vp_12",76
"56",1,"control",4,"saulin_01_vp_14",70
"57",1,"control",4,"saulin_01_vp_15",40
"58",1,"control",4,"saulin_01_vp_16",85
"59",1,"control",4,"saulin_01_vp_17",78
"60",1,"control",4,"saulin_01_vp_18",70
"61",1,"control",4,"saulin_01_vp_19",55
"62",1,"control",4,"saulin_01_vp_20",25
"63",1,"control",4,"saulin_01_vp_21",50
