"","trial_no","condition","block_no","id","closeness"
"1",1,"empathy_control",2,"md_as_01",41
"2",1,"empathy_control",2,"md_as_02",46
"3",1,"empathy_control",2,"md_as_04",22
"4",1,"empathy_control",2,"md_as_05",44
"5",1,"empathy_control",2,"md_as_06",16
"6",1,"empathy_control",2,"md_as_07",92
"7",1,"empathy_control",2,"md_as_08",23
"8",1,"empathy_control",2,"md_as_09",71
"9",1,"empathy_control",2,"md_as_10",20
"10",1,"empathy_control",2,"md_as_11",54
"11",1,"empathy_control",2,"md_as_23",3
"12",1,"empathy_control",2,"md_as_24",22
"13",1,"empathy_control",2,"md_as_25",44
"14",1,"empathy_control",2,"md_as_26",47
"15",1,"empathy_control",2,"md_as_27",6
"16",1,"empathy_control",2,"md_as_28",14
"17",1,"empathy_control",2,"md_as_29",48
"18",1,"empathy_control",2,"md_as_39",10
"19",1,"empathy_control",2,"md_as_43",21
"20",1,"empathy_control",2,"md_as_44",17
"21",1,"empathy_control",2,"md_as_45",50
"22",1,"empathy_control",2,"md_as_46",59
"23",1,"empathy_control",2,"md_as_51",46
"24",1,"empathy_control",2,"md_as_56",22
"25",1,"empathy_control",2,"md_as_57",50
"26",1,"empathy_control",2,"md_as_58",49
"27",1,"empathy_control",2,"md_as_59",16
"28",1,"empathy_control",4,"md_as_01",48
"29",1,"empathy_control",4,"md_as_02",52
"30",1,"empathy_control",4,"md_as_04",34
"31",1,"empathy_control",4,"md_as_05",49
"32",1,"empathy_control",4,"md_as_06",47
"33",1,"empathy_control",4,"md_as_07",80
"34",1,"empathy_control",4,"md_as_08",34
"35",1,"empathy_control",4,"md_as_09",73
"36",1,"empathy_control",4,"md_as_10",44
"37",1,"empathy_control",4,"md_as_11",77
"38",1,"empathy_control",4,"md_as_23",11
"39",1,"empathy_control",4,"md_as_24",13
"40",1,"empathy_control",4,"md_as_25",34
"41",1,"empathy_control",4,"md_as_26",58
"42",1,"empathy_control",4,"md_as_27",42
"43",1,"empathy_control",4,"md_as_28",48
"44",1,"empathy_control",4,"md_as_29",59
"45",1,"empathy_control",4,"md_as_39",20
"46",1,"empathy_control",4,"md_as_43",24
"47",1,"empathy_control",4,"md_as_44",42
