"","condition","block_no","trial_type","id","choice_val.mean"
"1","control",2,1,"md_as_12",71.1666666666667
"2","control",2,1,"md_as_13",54.6666666666667
"3","control",2,1,"md_as_14",73.3333333333333
"4","control",2,1,"md_as_15",80.25
"5","control",2,1,"md_as_16",60.9166666666667
"6","control",2,1,"md_as_17",53.4166666666667
"7","control",2,1,"md_as_19",44.5833333333333
"8","control",2,1,"md_as_21",73.4166666666667
"9","control",2,1,"md_as_22",68.0833333333333
"10","control",2,1,"md_as_30",69.1666666666667
"11","control",2,1,"md_as_31",59.3333333333333
"12","control",2,1,"md_as_32",77.8333333333333
"13","control",2,1,"md_as_33",88.25
"14","control",2,1,"md_as_34",68.3333333333333
"15","control",2,1,"md_as_35",50
"16","control",2,1,"md_as_36",70.9166666666667
"17","control",2,1,"md_as_37",36.1666666666667
"18","control",2,1,"md_as_38",82.0833333333333
"19","control",2,1,"md_as_40",64.5384615384615
"20","control",2,1,"md_as_41",81.4615384615385
"21","control",2,1,"md_as_42",79.8461538461538
"22","control",2,1,"md_as_47",53
"23","control",2,1,"md_as_48",80.6153846153846
"24","control",2,1,"md_as_49",79.8461538461538
"25","control",2,1,"md_as_50",74.6923076923077
"26","control",2,1,"md_as_52",57
"27","control",2,1,"md_as_53",59.7692307692308
"28","control",2,2,"md_as_12",72.0769230769231
"29","control",2,2,"md_as_13",32.6923076923077
"30","control",2,2,"md_as_14",59.9230769230769
"31","control",2,2,"md_as_15",13.3076923076923
"32","control",2,2,"md_as_16",42
"33","control",2,2,"md_as_17",44.6923076923077
"34","control",2,2,"md_as_19",43.9230769230769
"35","control",2,2,"md_as_21",45.3846153846154
"36","control",2,2,"md_as_22",34.8461538461538
"37","control",2,2,"md_as_30",34.3076923076923
"38","control",2,2,"md_as_31",47.2307692307692
"39","control",2,2,"md_as_32",63.2307692307692
"40","control",2,2,"md_as_33",65
"41","control",2,2,"md_as_34",28.9230769230769
"42","control",2,2,"md_as_35",42.0769230769231
"43","control",2,2,"md_as_36",33.4615384615385
"44","control",2,2,"md_as_37",16.9230769230769
"45","control",2,2,"md_as_38",21.4615384615385
"46","control",2,2,"md_as_40",33.8333333333333
"47","control",2,2,"md_as_41",80.3333333333333
"48","control",2,2,"md_as_42",77.9166666666667
"49","control",2,2,"md_as_47",44.1666666666667
"50","control",2,2,"md_as_48",51.25
"51","control",2,2,"md_as_49",44.5
"52","control",2,2,"md_as_50",52.6666666666667
"53","control",2,2,"md_as_52",30.5833333333333
"54","control",2,2,"md_as_53",53.4166666666667
"55","control",4,1,"md_as_12",73.5384615384615
"56","control",4,1,"md_as_13",57.3846153846154
"57","control",4,1,"md_as_14",73.3076923076923
"58","control",4,1,"md_as_15",65.0769230769231
"59","control",4,1,"md_as_16",66.2307692307692
"60","control",4,1,"md_as_17",59.0769230769231
"61","control",4,1,"md_as_19",48.4615384615385
"62","control",4,1,"md_as_21",70.1538461538462
"63","control",4,1,"md_as_22",69.2307692307692
"64","control",4,1,"md_as_30",67.3846153846154
"65","control",4,1,"md_as_31",61.3076923076923
"66","control",4,1,"md_as_32",78.6153846153846
"67","control",4,1,"md_as_33",87.9230769230769
"68","control",4,1,"md_as_34",71.3076923076923
"69","control",4,1,"md_as_35",53.3076923076923
"70","control",4,1,"md_as_36",66.0769230769231
"71","control",4,1,"md_as_37",52.8461538461538
"72","control",4,1,"md_as_38",82.5384615384615
"73","control",4,1,"md_as_40",61.6666666666667
"74","control",4,1,"md_as_41",87.75
"75","control",4,1,"md_as_42",83.5
"76","control",4,1,"md_as_47",50.0833333333333
"77","control",4,1,"md_as_48",68.8333333333333
"78","control",4,1,"md_as_49",71
"79","control",4,1,"md_as_50",61.4166666666667
"80","control",4,1,"md_as_52",71.1666666666667
"81","control",4,1,"md_as_53",51.3333333333333
"82","control",4,2,"md_as_12",73.5833333333333
"83","control",4,2,"md_as_13",39.3333333333333
"84","control",4,2,"md_as_14",63.1666666666667
"85","control",4,2,"md_as_15",25.1666666666667
"86","control",4,2,"md_as_16",38.0833333333333
"87","control",4,2,"md_as_17",46.8333333333333
"88","control",4,2,"md_as_19",45.1666666666667
"89","control",4,2,"md_as_21",36.5
"90","control",4,2,"md_as_22",32.8333333333333
"91","control",4,2,"md_as_30",32
"92","control",4,2,"md_as_31",50.3333333333333
"93","control",4,2,"md_as_32",71
"94","control",4,2,"md_as_33",53.1666666666667
"95","control",4,2,"md_as_34",31.0833333333333
"96","control",4,2,"md_as_35",44.9166666666667
"97","control",4,2,"md_as_36",28.9166666666667
"98","control",4,2,"md_as_37",45.0833333333333
"99","control",4,2,"md_as_38",21.6666666666667
"100","control",4,2,"md_as_40",37.7692307692308
"101","control",4,2,"md_as_41",76.0769230769231
"102","control",4,2,"md_as_42",80.0769230769231
"103","control",4,2,"md_as_47",34.2307692307692
"104","control",4,2,"md_as_48",49.9230769230769
"105","control",4,2,"md_as_49",39.7692307692308
"106","control",4,2,"md_as_50",38.7692307692308
"107","control",4,2,"md_as_52",31.3846153846154
"108","control",4,2,"md_as_53",45.0769230769231
"109","treatment",2,1,"md_as_12",73.6
"110","treatment",2,1,"md_as_13",66.25
"111","treatment",2,1,"md_as_14",83.35
"112","treatment",2,1,"md_as_15",87.65
"113","treatment",2,1,"md_as_16",63.65
"114","treatment",2,1,"md_as_17",57.6
"115","treatment",2,1,"md_as_19",57.6
"116","treatment",2,1,"md_as_21",92.1
"117","treatment",2,1,"md_as_22",84.85
"118","treatment",2,1,"md_as_30",74.75
"119","treatment",2,1,"md_as_31",60.3
"120","treatment",2,1,"md_as_32",77.15
"121","treatment",2,1,"md_as_33",94
"122","treatment",2,1,"md_as_34",78.2
"123","treatment",2,1,"md_as_35",75.3
"124","treatment",2,1,"md_as_36",81.35
"125","treatment",2,1,"md_as_37",72.45
"126","treatment",2,1,"md_as_38",81.9
"127","treatment",2,1,"md_as_40",83.55
"128","treatment",2,1,"md_as_41",89.1
"129","treatment",2,1,"md_as_42",86.9
"130","treatment",2,1,"md_as_47",64.3
"131","treatment",2,1,"md_as_48",72.95
"132","treatment",2,1,"md_as_49",90.45
"133","treatment",2,1,"md_as_50",90.05
"134","treatment",2,1,"md_as_52",79.75
"135","treatment",2,1,"md_as_53",67.85
"136","treatment",2,2,"md_as_12",67.8
"137","treatment",2,2,"md_as_13",42.4
"138","treatment",2,2,"md_as_14",79.2
"139","treatment",2,2,"md_as_15",13.6
"140","treatment",2,2,"md_as_16",41.6
"141","treatment",2,2,"md_as_17",56.8
"142","treatment",2,2,"md_as_19",44.2
"143","treatment",2,2,"md_as_21",56.8
"144","treatment",2,2,"md_as_22",48.6
"145","treatment",2,2,"md_as_30",29.6
"146","treatment",2,2,"md_as_31",39
"147","treatment",2,2,"md_as_32",62.2
"148","treatment",2,2,"md_as_33",80
"149","treatment",2,2,"md_as_34",44
"150","treatment",2,2,"md_as_35",67.4
"151","treatment",2,2,"md_as_36",26.2
"152","treatment",2,2,"md_as_37",67.4
"153","treatment",2,2,"md_as_38",33.8
"154","treatment",2,2,"md_as_40",52.6
"155","treatment",2,2,"md_as_41",92.2
"156","treatment",2,2,"md_as_42",81
"157","treatment",2,2,"md_as_47",30.4
"158","treatment",2,2,"md_as_48",49
"159","treatment",2,2,"md_as_49",37.8
"160","treatment",2,2,"md_as_50",76.2
"161","treatment",2,2,"md_as_52",62.8
"162","treatment",2,2,"md_as_53",66.2
"163","treatment",4,1,"md_as_12",74.6
"164","treatment",4,1,"md_as_13",36
"165","treatment",4,1,"md_as_14",60.8
"166","treatment",4,1,"md_as_15",67
"167","treatment",4,1,"md_as_16",59.8
"168","treatment",4,1,"md_as_17",37.8
"169","treatment",4,1,"md_as_19",44
"170","treatment",4,1,"md_as_21",44.8
"171","treatment",4,1,"md_as_22",49.2
"172","treatment",4,1,"md_as_30",58.2
"173","treatment",4,1,"md_as_31",64.2
"174","treatment",4,1,"md_as_32",64
"175","treatment",4,1,"md_as_33",44.4
"176","treatment",4,1,"md_as_34",69.4
"177","treatment",4,1,"md_as_35",32.8
"178","treatment",4,1,"md_as_36",76
"179","treatment",4,1,"md_as_37",16.6
"180","treatment",4,1,"md_as_38",78.8
"181","treatment",4,1,"md_as_40",63.4
"182","treatment",4,1,"md_as_41",89.4
"183","treatment",4,1,"md_as_42",81.2
"184","treatment",4,1,"md_as_47",19.8
"185","treatment",4,1,"md_as_48",56.2
"186","treatment",4,1,"md_as_49",41.8
"187","treatment",4,1,"md_as_50",40.6
"188","treatment",4,1,"md_as_52",51.8
"189","treatment",4,1,"md_as_53",55.4
"190","treatment",4,2,"md_as_12",59.2
"191","treatment",4,2,"md_as_13",25.35
"192","treatment",4,2,"md_as_14",65.15
"193","treatment",4,2,"md_as_15",31.2
"194","treatment",4,2,"md_as_16",39.4
"195","treatment",4,2,"md_as_17",28.6
"196","treatment",4,2,"md_as_19",39.2
"197","treatment",4,2,"md_as_21",15.1
"198","treatment",4,2,"md_as_22",29.3
"199","treatment",4,2,"md_as_30",8.55
"200","treatment",4,2,"md_as_31",18.3
"201","treatment",4,2,"md_as_32",57
"202","treatment",4,2,"md_as_33",17.2
"203","treatment",4,2,"md_as_34",28.1
"204","treatment",4,2,"md_as_35",20.8
"205","treatment",4,2,"md_as_36",19.1
"206","treatment",4,2,"md_as_37",12.85
"207","treatment",4,2,"md_as_38",17.2
"208","treatment",4,2,"md_as_40",25.35
"209","treatment",4,2,"md_as_41",93.35
"210","treatment",4,2,"md_as_42",78.15
"211","treatment",4,2,"md_as_47",14.75
"212","treatment",4,2,"md_as_48",41.85
"213","treatment",4,2,"md_as_49",23.25
"214","treatment",4,2,"md_as_50",21.65
"215","treatment",4,2,"md_as_52",22.35
"216","treatment",4,2,"md_as_53",49.95
