"","condition","block_no","trial_type","id","choice_val.mean"
"1","control","2","1","saulin_01_vp_01",24.0833333333333
"2","control","2","1","saulin_01_vp_02",49.5833333333333
"3","control","2","1","saulin_01_vp_03",32.75
"4","control","2","1","saulin_01_vp_04",50.9166666666667
"5","control","2","1","saulin_01_vp_05",48
"6","control","2","1","saulin_01_vp_06",11.75
"7","control","2","1","saulin_01_vp_10",37
"8","control","2","1","saulin_01_vp_11",8.75
"9","control","2","1","saulin_01_vp_12",63.3333333333333
"10","control","2","1","saulin_01_vp_14",48.25
"11","control","2","1","saulin_01_vp_15",3.66666666666667
"12","control","2","1","saulin_01_vp_16",18.75
"13","control","2","1","saulin_01_vp_17",45.4166666666667
"14","control","2","1","saulin_01_vp_18",49
"15","control","2","1","saulin_01_vp_19",20.4166666666667
"16","control","2","1","saulin_01_vp_20",47.1666666666667
"17","control","2","1","saulin_01_vp_21",19.6666666666667
"18","control","2","1","saulin_01_vp_22",31.3333333333333
"19","control","2","1","saulin_01_vp_23",29.4166666666667
"20","control","2","1","saulin_01_vp_24",35.75
"21","control","2","1","saulin_01_vp_25",21.9166666666667
"22","control","2","1","saulin_01_vp_26",30.9166666666667
"23","control","2","1","saulin_01_vp_27",41.6666666666667
"24","control","2","1","saulin_01_vp_29",48.5
"25","control","2","1","saulin_01_vp_30",50
"26","control","2","1","saulin_01_vp_31",58.3846153846154
"27","control","2","1","saulin_01_vp_32",36.2307692307692
"28","control","2","1","saulin_01_vp_33",86.8461538461538
"29","control","2","1","saulin_01_vp_34",24.5384615384615
"30","control","2","1","saulin_01_vp_35",24.1538461538462
"31","control","2","1","saulin_01_vp_36",17.2307692307692
"32","control","2","1","saulin_01_vp_37",67.6923076923077
"33","control","2","1","saulin_01_vp_38",48.3846153846154
"34","control","2","1","saulin_01_vp_39",28.0769230769231
"35","control","2","1","saulin_01_vp_40",29.6923076923077
"36","control","2","1","saulin_01_vp_41",57.0769230769231
"37","control","2","1","saulin_01_vp_42",39.9230769230769
"38","control","2","1","saulin_01_vp_43",39.3076923076923
"39","control","2","1","saulin_01_vp_44",28.3846153846154
"40","control","2","1","saulin_01_vp_45",70.9230769230769
"41","control","2","1","saulin_01_vp_46",75.6923076923077
"42","control","2","1","saulin_01_vp_47",29.0769230769231
"43","control","2","1","saulin_01_vp_48",71.7692307692308
"44","control","2","1","saulin_01_vp_49",51.9230769230769
"45","control","2","1","saulin_01_vp_50",31.6153846153846
"46","control","2","1","saulin_01_vp_51",49.6153846153846
"47","control","2","2","saulin_01_vp_01",37.3846153846154
"48","control","2","2","saulin_01_vp_02",50.3076923076923
"49","control","2","2","saulin_01_vp_03",73.0769230769231
"50","control","2","2","saulin_01_vp_04",60.6923076923077
"51","control","2","2","saulin_01_vp_05",68.2307692307692
"52","control","2","2","saulin_01_vp_06",75.6153846153846
"53","control","2","2","saulin_01_vp_10",63.1538461538462
"54","control","2","2","saulin_01_vp_11",9.30769230769231
"55","control","2","2","saulin_01_vp_12",79.9230769230769
"56","control","2","2","saulin_01_vp_14",70.6923076923077
"57","control","2","2","saulin_01_vp_15",17.3846153846154
"58","control","2","2","saulin_01_vp_16",35.0769230769231
"59","control","2","2","saulin_01_vp_17",65
"60","control","2","2","saulin_01_vp_18",54.2307692307692
"61","control","2","2","saulin_01_vp_19",29.2307692307692
"62","control","2","2","saulin_01_vp_20",60.8461538461538
"63","control","2","2","saulin_01_vp_21",75.8461538461538
"64","control","2","2","saulin_01_vp_22",64.8461538461538
"65","control","2","2","saulin_01_vp_23",68.8461538461538
"66","control","2","2","saulin_01_vp_24",52.6923076923077
"67","control","2","2","saulin_01_vp_25",37.1538461538462
"68","control","2","2","saulin_01_vp_26",71.6923076923077
"69","control","2","2","saulin_01_vp_27",51.2307692307692
"70","control","2","2","saulin_01_vp_29",59.7692307692308
"71","control","2","2","saulin_01_vp_30",49.6923076923077
"72","control","2","2","saulin_01_vp_31",70.3333333333333
"73","control","2","2","saulin_01_vp_32",74.5
"74","control","2","2","saulin_01_vp_33",87.0833333333333
"75","control","2","2","saulin_01_vp_34",73
"76","control","2","2","saulin_01_vp_35",52.0833333333333
"77","control","2","2","saulin_01_vp_36",49.9166666666667
"78","control","2","2","saulin_01_vp_37",69.75
"79","control","2","2","saulin_01_vp_38",50.6666666666667
"80","control","2","2","saulin_01_vp_39",45.5
"81","control","2","2","saulin_01_vp_40",29.9166666666667
"82","control","2","2","saulin_01_vp_41",58.6666666666667
"83","control","2","2","saulin_01_vp_42",43.1666666666667
"84","control","2","2","saulin_01_vp_43",57.25
"85","control","2","2","saulin_01_vp_44",50.5833333333333
"86","control","2","2","saulin_01_vp_45",78.9166666666667
"87","control","2","2","saulin_01_vp_46",71.4166666666667
"88","control","2","2","saulin_01_vp_47",55.4166666666667
"89","control","2","2","saulin_01_vp_48",83
"90","control","2","2","saulin_01_vp_49",64.25
"91","control","2","2","saulin_01_vp_50",39
"92","control","2","2","saulin_01_vp_51",48.8333333333333
"93","control","4","1","saulin_01_vp_01",21.7692307692308
"94","control","4","1","saulin_01_vp_02",50.0769230769231
"95","control","4","1","saulin_01_vp_03",40.6153846153846
"96","control","4","1","saulin_01_vp_04",47.4615384615385
"97","control","4","1","saulin_01_vp_05",49.6153846153846
"98","control","4","1","saulin_01_vp_06",10.3076923076923
"99","control","4","1","saulin_01_vp_10",38.1538461538462
"100","control","4","1","saulin_01_vp_11",17.6923076923077
"101","control","4","1","saulin_01_vp_12",55.7692307692308
"102","control","4","1","saulin_01_vp_14",44.2307692307692
"103","control","4","1","saulin_01_vp_15",3.23076923076923
"104","control","4","1","saulin_01_vp_16",15.8461538461538
"105","control","4","1","saulin_01_vp_17",46.8461538461538
"106","control","4","1","saulin_01_vp_18",45
"107","control","4","1","saulin_01_vp_19",12.8461538461538
"108","control","4","1","saulin_01_vp_20",45.3076923076923
"109","control","4","1","saulin_01_vp_21",9.30769230769231
"110","control","4","1","saulin_01_vp_22",26
"111","control","4","1","saulin_01_vp_23",26.4615384615385
"112","control","4","1","saulin_01_vp_24",31.9230769230769
"113","control","4","1","saulin_01_vp_25",25.0769230769231
"114","control","4","1","saulin_01_vp_26",24.0769230769231
"115","control","4","1","saulin_01_vp_27",39.3846153846154
"116","control","4","1","saulin_01_vp_29",44.1538461538462
"117","control","4","1","saulin_01_vp_30",49.3846153846154
"118","control","4","1","saulin_01_vp_31",75.0833333333333
"119","control","4","1","saulin_01_vp_32",30.6666666666667
"120","control","4","1","saulin_01_vp_33",79.8333333333333
"121","control","4","1","saulin_01_vp_34",34.8333333333333
"122","control","4","1","saulin_01_vp_35",17.25
"123","control","4","1","saulin_01_vp_36",17.5
"124","control","4","1","saulin_01_vp_37",57.5833333333333
"125","control","4","1","saulin_01_vp_38",39.5833333333333
"126","control","4","1","saulin_01_vp_39",31.75
"127","control","4","1","saulin_01_vp_40",30.5
"128","control","4","1","saulin_01_vp_41",44.9166666666667
"129","control","4","1","saulin_01_vp_42",39.0833333333333
"130","control","4","1","saulin_01_vp_43",28.4166666666667
"131","control","4","1","saulin_01_vp_44",30.8333333333333
"132","control","4","1","saulin_01_vp_45",43.4166666666667
"133","control","4","1","saulin_01_vp_46",75.8333333333333
"134","control","4","1","saulin_01_vp_47",26.4166666666667
"135","control","4","1","saulin_01_vp_48",69
"136","control","4","1","saulin_01_vp_49",47.25
"137","control","4","1","saulin_01_vp_50",22.0833333333333
"138","control","4","1","saulin_01_vp_51",43.25
"139","control","4","2","saulin_01_vp_01",28.3333333333333
"140","control","4","2","saulin_01_vp_02",49.8333333333333
"141","control","4","2","saulin_01_vp_03",57
"142","control","4","2","saulin_01_vp_04",57.4166666666667
"143","control","4","2","saulin_01_vp_05",71.4166666666667
"144","control","4","2","saulin_01_vp_06",81.25
"145","control","4","2","saulin_01_vp_10",60.0833333333333
"146","control","4","2","saulin_01_vp_11",21.4166666666667
"147","control","4","2","saulin_01_vp_12",78
"148","control","4","2","saulin_01_vp_14",63.25
"149","control","4","2","saulin_01_vp_15",22.6666666666667
"150","control","4","2","saulin_01_vp_16",35.3333333333333
"151","control","4","2","saulin_01_vp_17",56.0833333333333
"152","control","4","2","saulin_01_vp_18",51.25
"153","control","4","2","saulin_01_vp_19",21.4166666666667
"154","control","4","2","saulin_01_vp_20",56.25
"155","control","4","2","saulin_01_vp_21",77.1666666666667
"156","control","4","2","saulin_01_vp_22",65.5833333333333
"157","control","4","2","saulin_01_vp_23",72.25
"158","control","4","2","saulin_01_vp_24",48.0833333333333
"159","control","4","2","saulin_01_vp_25",37.1666666666667
"160","control","4","2","saulin_01_vp_26",79.8333333333333
"161","control","4","2","saulin_01_vp_27",54
"162","control","4","2","saulin_01_vp_29",58.5833333333333
"163","control","4","2","saulin_01_vp_30",50.0833333333333
"164","control","4","2","saulin_01_vp_31",79.5384615384615
"165","control","4","2","saulin_01_vp_32",81.4615384615385
"166","control","4","2","saulin_01_vp_33",81.6923076923077
"167","control","4","2","saulin_01_vp_34",77.6153846153846
"168","control","4","2","saulin_01_vp_35",71.0769230769231
"169","control","4","2","saulin_01_vp_36",46.8461538461538
"170","control","4","2","saulin_01_vp_37",58.6923076923077
"171","control","4","2","saulin_01_vp_38",35.9230769230769
"172","control","4","2","saulin_01_vp_39",46.1538461538462
"173","control","4","2","saulin_01_vp_40",30.6923076923077
"174","control","4","2","saulin_01_vp_41",55.5384615384615
"175","control","4","2","saulin_01_vp_42",37.3846153846154
"176","control","4","2","saulin_01_vp_43",48.4615384615385
"177","control","4","2","saulin_01_vp_44",42.9230769230769
"178","control","4","2","saulin_01_vp_45",52.5384615384615
"179","control","4","2","saulin_01_vp_46",78.6153846153846
"180","control","4","2","saulin_01_vp_47",33.5384615384615
