"","condition","block_no","trial_type","id","choice_val.mean"
"1","control",2,1,"md_as_01",19.6666666666667
"2","control",2,1,"md_as_02",16.5
"3","control",2,1,"md_as_04",25.9166666666667
"4","control",2,1,"md_as_05",36.0833333333333
"5","control",2,1,"md_as_06",36.75
"6","control",2,1,"md_as_07",15.3333333333333
"7","control",2,1,"md_as_08",24.5833333333333
"8","control",2,1,"md_as_09",16.0833333333333
"9","control",2,1,"md_as_10",18.75
"10","control",2,1,"md_as_11",39.5833333333333
"11","control",2,1,"md_as_23",14.3333333333333
"12","control",2,1,"md_as_24",51.5833333333333
"13","control",2,1,"md_as_25",20.75
"14","control",2,1,"md_as_26",37.4166666666667
"15","control",2,1,"md_as_27",21.75
"16","control",2,1,"md_as_28",40.5833333333333
"17","control",2,1,"md_as_29",44.9166666666667
"18","control",2,1,"md_as_39",5.16666666666667
"19","control",2,1,"md_as_43",30
"20","control",2,1,"md_as_44",19.2307692307692
"21","control",2,1,"md_as_45",17.3076923076923
"22","control",2,1,"md_as_46",7.53846153846154
"23","control",2,1,"md_as_51",48.1538461538462
"24","control",2,1,"md_as_56",32.6923076923077
"25","control",2,1,"md_as_57",76.9230769230769
"26","control",2,1,"md_as_58",47.3846153846154
"27","control",2,1,"md_as_59",22.6153846153846
"28","control",2,2,"md_as_01",80.0769230769231
"29","control",2,2,"md_as_02",29.2307692307692
"30","control",2,2,"md_as_04",26.7692307692308
"31","control",2,2,"md_as_05",36.3076923076923
"32","control",2,2,"md_as_06",60.6153846153846
"33","control",2,2,"md_as_07",45.3076923076923
"34","control",2,2,"md_as_08",68.3846153846154
"35","control",2,2,"md_as_09",97.0769230769231
"36","control",2,2,"md_as_10",35
"37","control",2,2,"md_as_11",53.4615384615385
"38","control",2,2,"md_as_23",21
"39","control",2,2,"md_as_24",57.3076923076923
"40","control",2,2,"md_as_25",79.8461538461538
"41","control",2,2,"md_as_26",53.4615384615385
"42","control",2,2,"md_as_27",34.6923076923077
"43","control",2,2,"md_as_28",60.6923076923077
"44","control",2,2,"md_as_29",47.6153846153846
"45","control",2,2,"md_as_39",89.3076923076923
"46","control",2,2,"md_as_43",74.4166666666667
"47","control",2,2,"md_as_44",35.0833333333333
"48","control",2,2,"md_as_45",62.3333333333333
"49","control",2,2,"md_as_46",86
"50","control",2,2,"md_as_51",54.9166666666667
"51","control",2,2,"md_as_56",62.4166666666667
"52","control",2,2,"md_as_57",80.5
"53","control",2,2,"md_as_58",68.5833333333333
"54","control",2,2,"md_as_59",67.5
"55","control",4,1,"md_as_01",18.7692307692308
"56","control",4,1,"md_as_02",17.2307692307692
"57","control",4,1,"md_as_04",33.6923076923077
"58","control",4,1,"md_as_05",32.2307692307692
"59","control",4,1,"md_as_06",26.9230769230769
"60","control",4,1,"md_as_07",17.5384615384615
"61","control",4,1,"md_as_08",22.3076923076923
"62","control",4,1,"md_as_09",13.3076923076923
