"","effect","id","regions","betas","measurement","measurement_value"
"1","initial","saulin_01_vp_01","TPJ",0.14287,"EC",1.12516890228378
"2","initial","saulin_01_vp_01","TPJ",0.14287,"PT",0.764688972964625
"3","initial","saulin_01_vp_01","TPJ",0.14287,"z_int",-0.0693670154207969
"4","initial","saulin_01_vp_01","TPJ",0.14287,"z_init",2.19894575289778
"5","initial","saulin_01_vp_01","TPJ",0.14287,"z_sust",-2.16040187008811
"6","initial","saulin_01_vp_01","mpfc",0.27441,"EC",1.12516890228378
"7","initial","saulin_01_vp_01","mpfc",0.27441,"PT",0.764688972964625
"8","initial","saulin_01_vp_01","mpfc",0.27441,"z_int",-0.0693670154207969
"9","initial","saulin_01_vp_01","mpfc",0.27441,"z_init",2.19894575289778
"10","initial","saulin_01_vp_01","mpfc",0.27441,"z_sust",-2.16040187008811
"11","initial","saulin_01_vp_03","TPJ",-0.66503,"EC",-0.352152099188052
"12","initial","saulin_01_vp_03","TPJ",-0.66503,"PT",-0.771835598880183
"13","initial","saulin_01_vp_03","TPJ",-0.66503,"z_int",0.754019653815259
"14","initial","saulin_01_vp_03","TPJ",-0.66503,"z_init",-1.26359654975235
"15","initial","saulin_01_vp_03","TPJ",-0.66503,"z_sust",0.581134675485867
"16","initial","saulin_01_vp_03","mpfc",-0.42621,"EC",-0.352152099188052
"17","initial","saulin_01_vp_03","mpfc",-0.42621,"PT",-0.771835598880183
"18","initial","saulin_01_vp_03","mpfc",-0.42621,"z_int",0.754019653815259
"19","initial","saulin_01_vp_03","mpfc",-0.42621,"z_init",-1.26359654975235
"20","initial","saulin_01_vp_03","mpfc",-0.42621,"z_sust",0.581134675485867
"21","initial","saulin_01_vp_04","TPJ",0.56514,"EC",0.386508401547862
"22","initial","saulin_01_vp_04","TPJ",0.56514,"PT",0.150079144226702
"23","initial","saulin_01_vp_04","TPJ",0.56514,"z_int",0.392489331075333
"24","initial","saulin_01_vp_04","TPJ",0.56514,"z_init",0.0869953799300806
"25","initial","saulin_01_vp_04","TPJ",0.56514,"z_sust",0.268345090163905
"26","initial","saulin_01_vp_04","mpfc",1.3894,"EC",0.386508401547862
"27","initial","saulin_01_vp_04","mpfc",1.3894,"PT",0.150079144226702
"28","initial","saulin_01_vp_04","mpfc",1.3894,"z_int",0.392489331075333
"29","initial","saulin_01_vp_04","mpfc",1.3894,"z_init",0.0869953799300806
"30","initial","saulin_01_vp_04","mpfc",1.3894,"z_sust",0.268345090163905
"31","initial","saulin_01_vp_05","TPJ",0.68622,"EC",-0.352152099188052
"32","initial","saulin_01_vp_05","TPJ",0.68622,"PT",-1.07914051324914
"33","initial","saulin_01_vp_05","TPJ",0.68622,"z_int",-0.698622659198815
"34","initial","saulin_01_vp_05","TPJ",0.68622,"z_init",-0.111098737748924
"35","initial","saulin_01_vp_05","TPJ",0.68622,"z_sust",-0.944246491198696
"36","initial","saulin_01_vp_05","mpfc",0.52078,"EC",-0.352152099188052
"37","initial","saulin_01_vp_05","mpfc",0.52078,"PT",-1.07914051324914
"38","initial","saulin_01_vp_05","mpfc",0.52078,"z_int",-0.698622659198815
"39","initial","saulin_01_vp_05","mpfc",0.52078,"z_init",-0.111098737748924
"40","initial","saulin_01_vp_05","mpfc",0.52078,"z_sust",-0.944246491198696
"41","initial","saulin_01_vp_06","TPJ",-0.16727,"EC",0.386508401547862
"42","initial","saulin_01_vp_06","TPJ",-0.16727,"PT",0.457384058595663
"43","initial","saulin_01_vp_06","TPJ",-0.16727,"z_int",0.396280658126134
"44","initial","saulin_01_vp_06","TPJ",-0.16727,"z_init",0.299499590303742
"45","initial","saulin_01_vp_06","TPJ",-0.16727,"z_sust",-0.133586800264813
"46","initial","saulin_01_vp_06","mpfc",-0.32226,"EC",0.386508401547862
"47","initial","saulin_01_vp_06","mpfc",-0.32226,"PT",0.457384058595663
"48","initial","saulin_01_vp_06","mpfc",-0.32226,"z_int",0.396280658126134
"49","initial","saulin_01_vp_06","mpfc",-0.32226,"z_init",0.299499590303742
"50","initial","saulin_01_vp_06","mpfc",-0.32226,"z_sust",-0.133586800264813
"51","initial","saulin_01_vp_08","TPJ",0.37064,"EC",-1.46014285029192
"52","initial","saulin_01_vp_08","TPJ",0.37064,"PT",-1.69375034198707
"53","initial","saulin_01_vp_08","TPJ",0.37064,"z_int",-0.515214443405171
"54","initial","saulin_01_vp_08","TPJ",0.37064,"z_init",-0.923714072511497
"55","initial","saulin_01_vp_08","TPJ",0.37064,"z_sust",0.401422313277166
"56","initial","saulin_01_vp_08","mpfc",0.053006,"EC",-1.46014285029192
"57","initial","saulin_01_vp_08","mpfc",0.053006,"PT",-1.69375034198707
"58","initial","saulin_01_vp_08","mpfc",0.053006,"z_int",-0.515214443405171
"59","initial","saulin_01_vp_08","mpfc",0.053006,"z_init",-0.923714072511497
"60","initial","saulin_01_vp_08","mpfc",0.053006,"z_sust",0.401422313277166
"61","initial","saulin_01_vp_11","TPJ",-0.41937,"EC",0.75583865191582
"62","initial","saulin_01_vp_11","TPJ",-0.41937,"PT",-1.07914051324914
"63","initial","saulin_01_vp_11","TPJ",-0.41937,"z_int",0.0365629312000224
"64","initial","saulin_01_vp_11","TPJ",-0.41937,"z_init",0.151610264230934
"65","initial","saulin_01_vp_11","TPJ",-0.41937,"z_sust",-0.522220756414767
"66","initial","saulin_01_vp_11","mpfc",-0.54091,"EC",0.75583865191582
"67","initial","saulin_01_vp_11","mpfc",-0.54091,"PT",-1.07914051324914
"68","initial","saulin_01_vp_11","mpfc",-0.54091,"z_int",0.0365629312000224
"69","initial","saulin_01_vp_11","mpfc",-0.54091,"z_init",0.151610264230934
"70","initial","saulin_01_vp_11","mpfc",-0.54091,"z_sust",-0.522220756414767
"71","initial","saulin_01_vp_12","TPJ",-0.14712,"EC",0.017178151179905
"72","initial","saulin_01_vp_12","TPJ",-0.14712,"PT",-0.771835598880183
"73","initial","saulin_01_vp_12","TPJ",-0.14712,"z_int",0.0614761107503813
"74","initial","saulin_01_vp_12","TPJ",-0.14712,"z_init",0.1274998256507
"75","initial","saulin_01_vp_12","TPJ",-0.14712,"z_sust",-0.292252395050647
"76","initial","saulin_01_vp_12","mpfc",-0.074748,"EC",0.017178151179905
"77","initial","saulin_01_vp_12","mpfc",-0.074748,"PT",-0.771835598880183
"78","initial","saulin_01_vp_12","mpfc",-0.074748,"z_int",0.0614761107503813
"79","initial","saulin_01_vp_12","mpfc",-0.074748,"z_init",0.1274998256507
"80","initial","saulin_01_vp_12","mpfc",-0.074748,"z_sust",-0.292252395050647
"81","initial","saulin_01_vp_14","TPJ",-0.89972,"EC",0.75583865191582
"82","initial","saulin_01_vp_14","TPJ",-0.89972,"PT",1.37929880170255
"83","initial","saulin_01_vp_14","TPJ",-0.89972,"z_int",-1.91261072815798
"84","initial","saulin_01_vp_14","TPJ",-0.89972,"z_init",-0.899616694224041
"85","initial","saulin_01_vp_14","TPJ",-0.89972,"z_sust",0.661176081879611
