"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_gain"
"1",0,1,1,646,0,"md_as_12","reciprocity","control",120
"2",0,1,2,642,0,"md_as_12","reciprocity","control",40
"3",0,1,3,805,0,"md_as_12","reciprocity","control",360
"4",0,1,4,635,0,"md_as_12","reciprocity","control",180
"5",0,1,5,647,0,"md_as_12","reciprocity","control",380
"6",0,1,6,719,0,"md_as_12","reciprocity","control",300
"7",0,1,7,738,0,"md_as_12","reciprocity","control",20
"8",0,1,8,494,0,"md_as_12","reciprocity","control",360
"9",0,1,9,532,0,"md_as_12","reciprocity","control",160
"10",0,1,10,429,0,"md_as_12","reciprocity","control",240
"11",0,1,11,606,0,"md_as_12","reciprocity","control",340
"12",0,1,12,740,0,"md_as_12","reciprocity","control",380
"13",0,1,13,532,0,"md_as_12","reciprocity","control",320
"14",0,1,14,589,0,"md_as_12","reciprocity","control",60
"15",0,1,15,552,0,"md_as_12","reciprocity","control",280
"16",0,1,16,819,1,"md_as_12","reciprocity","control",320
"17",0,1,17,794,0,"md_as_12","reciprocity","control",160
"18",0,1,18,562,0,"md_as_12","reciprocity","control",220
"19",0,1,19,500,0,"md_as_12","reciprocity","control",20
"20",0,1,20,754,0,"md_as_12","reciprocity","control",380
"21",0,1,21,521,0,"md_as_12","reciprocity","control",180
"22",0,1,22,487,0,"md_as_12","reciprocity","control",100
"23",0,1,23,498,0,"md_as_12","reciprocity","control",100
"24",0,1,24,765,0,"md_as_12","reciprocity","control",360
"25",0,1,25,512,0,"md_as_12","reciprocity","control",60
"26",0,1,26,506,0,"md_as_12","reciprocity","control",240
"27",0,1,27,646,0,"md_as_12","reciprocity","control",40
"28",0,1,28,521,0,"md_as_12","reciprocity","control",280
"29",0,1,29,491,0,"md_as_12","reciprocity","control",360
"30",0,1,30,765,0,"md_as_12","reciprocity","control",380
"31",0,1,31,848,0,"md_as_12","reciprocity","control",340
"32",0,1,32,508,0,"md_as_12","reciprocity","control",300
"33",0,1,33,796,0,"md_as_12","reciprocity","control",120
"34",0,1,34,584,0,"md_as_12","reciprocity","control",220
"35",0,2,1,634,0,"md_as_12","reciprocity","control",120
"36",0,2,2,449,0,"md_as_12","reciprocity","control",40
"37",0,2,3,517,0,"md_as_12","reciprocity","control",360
"38",0,2,4,475,0,"md_as_12","reciprocity","control",180
"39",0,2,5,544,0,"md_as_12","reciprocity","control",380
"40",0,2,6,498,1,"md_as_12","reciprocity","control",300
"41",0,2,7,517,0,"md_as_12","reciprocity","control",20
"42",0,2,8,466,0,"md_as_12","reciprocity","control",360
"43",0,2,9,499,0,"md_as_12","reciprocity","control",160
"44",0,2,10,501,0,"md_as_12","reciprocity","control",240
"45",0,2,11,692,0,"md_as_12","reciprocity","control",340
"46",0,2,12,781,0,"md_as_12","reciprocity","control",380
"47",0,2,13,450,0,"md_as_12","reciprocity","control",320
"48",0,2,14,516,0,"md_as_12","reciprocity","control",60
"49",0,2,15,512,0,"md_as_12","reciprocity","control",280
"50",0,2,16,637,0,"md_as_12","reciprocity","control",320
"51",0,2,17,418,0,"md_as_12","reciprocity","control",160
"52",0,2,18,438,0,"md_as_12","reciprocity","control",220
"53",0,2,19,438,0,"md_as_12","reciprocity","control",20
"54",0,2,20,539,0,"md_as_12","reciprocity","control",380
"55",0,2,21,585,0,"md_as_12","reciprocity","control",180
"56",0,2,22,444,0,"md_as_12","reciprocity","control",100
"57",0,2,23,673,0,"md_as_12","reciprocity","control",100
"58",0,2,24,511,1,"md_as_12","reciprocity","control",360
"59",0,2,25,475,0,"md_as_12","reciprocity","control",60
"60",0,2,26,510,0,"md_as_12","reciprocity","control",240
"61",0,2,27,598,0,"md_as_12","reciprocity","control",40
"62",0,2,28,544,0,"md_as_12","reciprocity","control",280
"63",0,2,29,617,0,"md_as_12","reciprocity","control",360
"64",0,2,30,868,1,"md_as_12","reciprocity","control",380
"65",0,2,31,641,1,"md_as_12","reciprocity","control",340
"66",0,2,32,498,0,"md_as_12","reciprocity","control",300
