"","sample","id","condition","blockno","response","emotion_rating","EC"
"1","lab","md_as_01","control","2",0.294117647058824,51.08,23
"2","lab","md_as_02","control","2",0.647058823529412,23.12,16
"3","lab","md_as_04","control","2",0.470588235294118,26.36,16
"4","lab","md_as_05","control","2",0.5,36.2,21
"5","lab","md_as_06","control","2",0.617647058823529,49.16,18
"6","lab","md_as_07","control","2",0.588235294117647,30.92,23
"7","lab","md_as_08","control","2",0.558823529411765,47.36,19
"8","lab","md_as_09","control","2",0.5,58.2,23
"9","lab","md_as_10","control","2",0.424242424242424,27.2,19
"10","lab","md_as_11","control","2",0.588235294117647,46.8,18
"11","lab","md_as_23","control","2",0,17.8,25
"12","lab","md_as_24","control","2",0.735294117647059,54.56,17
"13","lab","md_as_25","control","2",0.588235294117647,51.48,19
"14","lab","md_as_26","control","2",0.441176470588235,45.76,21
"15","lab","md_as_27","control","2",0.529411764705882,28.48,19
"16","lab","md_as_28","control","2",0.764705882352941,51.04,17
"17","lab","md_as_29","control","2",0.617647058823529,46.32,19
"18","lab","md_as_39","control","2",0.794117647058823,48.92,23
"19","lab","md_as_43","control","2",0.1,51.32,17
"20","lab","md_as_44","control","2",0.676470588235294,26.84,19
"21","lab","md_as_45","control","2",0.970588235294118,38.92,19
"22","lab","md_as_46","control","2",0.970588235294118,45.2,24
"23","lab","md_as_51","control","2",0.575757575757576,51.4,19
"24","lab","md_as_56","control","2",0.939393939393939,46.96,24
"25","lab","md_as_57","control","2",0.794117647058823,78.64,20
"26","lab","md_as_58","control","2",0.735294117647059,57.56,22
"27","lab","md_as_59","control","2",0.75,44.16,20
"28","lab","md_as_01","treatment","2",0.4375,27.72,23
"29","lab","md_as_02","treatment","2",0.727272727272727,20.12,16
"30","lab","md_as_04","treatment","2",0.176470588235294,28.88,16
"31","lab","md_as_05","treatment","2",0.441176470588235,34.16,21
"32","lab","md_as_06","treatment","2",0.735294117647059,21.16,18
"33","lab","md_as_07","treatment","2",0.5,14.56,23
"34","lab","md_as_08","treatment","2",0.735294117647059,33.08,19
"35","lab","md_as_09","treatment","2",0.558823529411765,41.64,23
"36","lab","md_as_10","treatment","2",0.735294117647059,32.32,19
"37","lab","md_as_11","treatment","2",0.558823529411765,48.56,18
"38","lab","md_as_23","treatment","2",0.823529411764706,14.44,25
"39","lab","md_as_24","treatment","2",0.764705882352941,50.16,17
"40","lab","md_as_25","treatment","2",0.5,28.72,19
"41","lab","md_as_26","treatment","2",0.558823529411765,27.4,21
"42","lab","md_as_27","treatment","2",0.529411764705882,25.44,19
"43","lab","md_as_28","treatment","2",0.515151515151515,39.8,17
"44","lab","md_as_29","treatment","2",0.5,38.52,19
"45","lab","md_as_39","treatment","2",0.617647058823529,23.4,23
"46","lab","md_as_43","treatment","2",0.117647058823529,33.48,17
"47","lab","md_as_44","treatment","2",0.705882352941177,33.52,19
"48","lab","md_as_45","treatment","2",0.970588235294118,22.56,19
"49","lab","md_as_46","treatment","2",0.970588235294118,15.2,24
"50","lab","md_as_51","treatment","2",0.53125,51.92,19
"51","lab","md_as_56","treatment","2",0.970588235294118,27.2,24
"52","lab","md_as_57","treatment","2",0.727272727272727,68,20
"53","lab","md_as_58","treatment","2",0.970588235294118,40.84,22
"54","lab","md_as_59","treatment","2",0.735294117647059,30.68,20
"55","lab","md_as_01","control","3",0.235294117647059,47.84,23
"56","lab","md_as_02","control","3",0.727272727272727,22,16
"57","lab","md_as_04","control","3",0,33.24,16
"58","lab","md_as_05","control","3",0.441176470588235,41.16,21
"59","lab","md_as_06","control","3",0.676470588235294,45.48,18
"60","lab","md_as_07","control","3",0.5,30.6,23
"61","lab","md_as_08","control","3",0.647058823529412,51.04,19
"62","lab","md_as_09","control","3",0.588235294117647,54.28,23
"63","lab","md_as_10","control","3",0.606060606060606,30.6,19
"64","lab","md_as_11","control","3",0.575757575757576,51.44,18
"65","lab","md_as_23","control","3",0.647058823529412,12.56,25
"66","lab","md_as_24","control","3",0.787878787878788,63.4,17
"67","lab","md_as_25","control","3",0.529411764705882,45.88,19
"68","lab","md_as_26","control","3",0.515151515151515,47.28,21
"69","lab","md_as_27","control","3",0.441176470588235,20.96,19
"70","lab","md_as_28","control","3",0.764705882352941,44.8,17
"71","lab","md_as_29","control","3",0.5,48.48,19
"72","lab","md_as_39","control","3",0.794117647058823,48.92,23
"73","lab","md_as_43","control","3",0.15625,45.92,17
"74","lab","md_as_44","control","3",0.676470588235294,52.28,19
"75","lab","md_as_45","control","3",0.970588235294118,45.96,19
"76","lab","md_as_46","control","3",0.970588235294118,42.48,24
"77","lab","md_as_51","control","3",0.636363636363636,47.08,19
"78","lab","md_as_56","control","3",0.941176470588235,46.16,24
"79","lab","md_as_57","control","3",0.764705882352941,75.52,20
"80","lab","md_as_58","control","3",0.735294117647059,57.12,22
"81","lab","md_as_59","control","3",0.735294117647059,46.32,20
"82","lab","md_as_01","treatment","3",0.205882352941176,67.24,23
"83","lab","md_as_02","treatment","3",0.757575757575758,39.04,16
"84","lab","md_as_04","treatment","3",0.264705882352941,33.84,16
"85","lab","md_as_05","treatment","3",0.470588235294118,57.6,21
"86","lab","md_as_06","treatment","3",0.529411764705882,52.44,18
"87","lab","md_as_07","treatment","3",0.323529411764706,20.88,23
"88","lab","md_as_08","treatment","3",0.529411764705882,77.4,19
"89","lab","md_as_09","treatment","3",0.617647058823529,79.64,23
"90","lab","md_as_10","treatment","3",0.794117647058823,35.12,19
"91","lab","md_as_11","treatment","3",0.558823529411765,64.2,18
