"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_loss"
"1",0,1,1,1049,0,"md_as_13","reciprocity","treatment",160
"2",0,1,2,1407,0,"md_as_13","reciprocity","treatment",120
"3",0,1,3,1685,0,"md_as_13","reciprocity","treatment",120
"4",0,1,4,1087,0,"md_as_13","reciprocity","treatment",20
"5",0,1,5,1098,1,"md_as_13","reciprocity","treatment",320
"6",0,1,6,1577,1,"md_as_13","reciprocity","treatment",300
"7",0,1,7,1088,1,"md_as_13","reciprocity","treatment",380
"8",0,1,8,881,1,"md_as_13","reciprocity","treatment",380
"9",0,1,9,1450,1,"md_as_13","reciprocity","treatment",40
"10",0,1,10,883,1,"md_as_13","reciprocity","treatment",300
"11",0,1,11,1499,0,"md_as_13","reciprocity","treatment",380
"12",0,1,12,1677,0,"md_as_13","reciprocity","treatment",180
"13",0,1,13,921,1,"md_as_13","reciprocity","treatment",280
"14",0,1,14,1552,0,"md_as_13","reciprocity","treatment",20
"15",0,1,15,1478,0,"md_as_13","reciprocity","treatment",100
"16",0,1,16,917,1,"md_as_13","reciprocity","treatment",340
"17",0,1,17,1060,1,"md_as_13","reciprocity","treatment",360
"18",0,1,18,1618,1,"md_as_13","reciprocity","treatment",320
"19",0,1,19,1103,1,"md_as_13","reciprocity","treatment",100
"20",0,1,20,1117,1,"md_as_13","reciprocity","treatment",220
"21",0,1,21,1660,0,"md_as_13","reciprocity","treatment",220
"22",0,1,22,2034,0,"md_as_13","reciprocity","treatment",360
"23",0,1,23,1839,0,"md_as_13","reciprocity","treatment",240
"24",0,1,24,918,1,"md_as_13","reciprocity","treatment",380
"25",0,1,25,1469,1,"md_as_13","reciprocity","treatment",340
"26",0,1,26,1654,1,"md_as_13","reciprocity","treatment",360
"27",0,1,27,917,1,"md_as_13","reciprocity","treatment",240
"28",0,1,28,1493,1,"md_as_13","reciprocity","treatment",160
"29",0,1,29,977,1,"md_as_13","reciprocity","treatment",360
"30",0,1,30,1826,0,"md_as_13","reciprocity","treatment",60
"31",0,1,31,2407,0,"md_as_13","reciprocity","treatment",280
"32",0,1,32,1518,0,"md_as_13","reciprocity","treatment",60
"33",0,1,33,1202,1,"md_as_13","reciprocity","treatment",180
"34",0,1,34,1555,0,"md_as_13","reciprocity","treatment",40
"35",0,2,1,1288,1,"md_as_13","reciprocity","treatment",160
"36",0,2,2,1784,0,"md_as_13","reciprocity","treatment",120
"37",0,2,3,1468,0,"md_as_13","reciprocity","treatment",120
"38",0,2,4,2227,0,"md_as_13","reciprocity","treatment",20
"39",0,2,5,1185,1,"md_as_13","reciprocity","treatment",320
"40",0,2,6,1821,1,"md_as_13","reciprocity","treatment",300
"41",0,2,7,2102,1,"md_as_13","reciprocity","treatment",380
"42",0,2,8,1460,1,"md_as_13","reciprocity","treatment",380
"43",0,2,9,1836,1,"md_as_13","reciprocity","treatment",40
"44",0,2,10,1861,1,"md_as_13","reciprocity","treatment",300
"45",0,2,11,1187,0,"md_as_13","reciprocity","treatment",380
"46",0,2,12,2221,0,"md_as_13","reciprocity","treatment",180
"47",0,2,13,1032,1,"md_as_13","reciprocity","treatment",280
"48",0,2,14,1834,0,"md_as_13","reciprocity","treatment",20
"49",0,2,15,1666,0,"md_as_13","reciprocity","treatment",100
"50",0,2,16,1544,1,"md_as_13","reciprocity","treatment",340
"51",0,2,17,2186,1,"md_as_13","reciprocity","treatment",360
"52",0,2,18,1259,1,"md_as_13","reciprocity","treatment",320
"53",0,2,19,1612,0,"md_as_13","reciprocity","treatment",100
"54",0,2,20,1536,0,"md_as_13","reciprocity","treatment",220
"55",0,2,21,1887,1,"md_as_13","reciprocity","treatment",220
"56",0,2,22,1614,1,"md_as_13","reciprocity","treatment",360
"57",0,2,23,2074,1,"md_as_13","reciprocity","treatment",240
"58",0,2,24,1385,1,"md_as_13","reciprocity","treatment",380
"59",0,2,25,2195,1,"md_as_13","reciprocity","treatment",340
"60",0,2,26,1512,1,"md_as_13","reciprocity","treatment",360
"61",0,2,27,1667,1,"md_as_13","reciprocity","treatment",240
"62",0,2,28,2110,1,"md_as_13","reciprocity","treatment",160
"63",0,2,29,1736,1,"md_as_13","reciprocity","treatment",360
"64",0,2,30,1698,0,"md_as_13","reciprocity","treatment",60
"65",0,2,31,2083,1,"md_as_13","reciprocity","treatment",280
"66",0,2,32,2068,0,"md_as_13","reciprocity","treatment",60
"67",0,2,33,2479,0,"md_as_13","reciprocity","treatment",180
"68",0,2,34,1281,1,"md_as_13","reciprocity","treatment",40
"69",0,3,1,1342,1,"md_as_13","reciprocity","treatment",240
"70",0,3,2,1330,0,"md_as_13","reciprocity","treatment",20
"71",0,3,3,1426,0,"md_as_13","reciprocity","treatment",40
"72",0,3,4,994,1,"md_as_13","reciprocity","treatment",320
"73",0,3,5,1817,1,"md_as_13","reciprocity","treatment",180
"74",0,3,6,1818,0,"md_as_13","reciprocity","treatment",60
"75",0,3,7,1401,1,"md_as_13","reciprocity","treatment",100
"76",0,3,8,1816,0,"md_as_13","reciprocity","treatment",120
"77",0,3,9,1166,1,"md_as_13","reciprocity","treatment",280
"78",0,3,10,2025,0,"md_as_13","reciprocity","treatment",300
"79",0,3,11,1619,0,"md_as_13","reciprocity","treatment",160
"80",0,3,12,1256,1,"md_as_13","reciprocity","treatment",360
"81",0,3,13,1108,0,"md_as_13","reciprocity","treatment",380
"82",0,3,14,1763,1,"md_as_13","reciprocity","treatment",180
"83",0,3,15,1036,1,"md_as_13","reciprocity","treatment",380
"84",0,3,16,1657,0,"md_as_13","reciprocity","treatment",60
"85",0,3,17,1256,1,"md_as_13","reciprocity","treatment",300
"86",0,3,18,1682,1,"md_as_13","reciprocity","treatment",380
"87",0,3,19,2005,0,"md_as_13","reciprocity","treatment",20
"88",0,3,20,1919,1,"md_as_13","reciprocity","treatment",340
"89",0,3,21,1839,1,"md_as_13","reciprocity","treatment",220
"90",0,3,22,2057,0,"md_as_13","reciprocity","treatment",160
"91",0,3,23,1924,1,"md_as_13","reciprocity","treatment",360
"92",0,3,24,2455,0,"md_as_13","reciprocity","treatment",100
"93",0,3,25,1779,0,"md_as_13","reciprocity","treatment",40
"94",0,3,26,1277,1,"md_as_13","reciprocity","treatment",340
"95",0,3,27,1398,1,"md_as_13","reciprocity","treatment",220
"96",0,3,28,1441,1,"md_as_13","reciprocity","treatment",380
"97",0,3,29,1635,1,"md_as_13","reciprocity","treatment",280
"98",0,3,30,1770,1,"md_as_13","reciprocity","treatment",320
"99",0,3,31,1785,0,"md_as_13","reciprocity","treatment",120
"100",0,3,32,1956,1,"md_as_13","reciprocity","treatment",360
"101",0,3,33,1393,1,"md_as_13","reciprocity","treatment",360
"102",0,3,34,1273,1,"md_as_13","reciprocity","treatment",240
"103",0,1,1,1616,0,"md_as_13","reciprocity","control",300
"104",0,1,2,1321,1,"md_as_13","reciprocity","control",360
"105",0,1,3,1362,0,"md_as_13","reciprocity","control",240
"106",0,1,4,2140,1,"md_as_13","reciprocity","control",220
"107",0,1,5,1314,1,"md_as_13","reciprocity","control",380
"108",0,1,6,1861,0,"md_as_13","reciprocity","control",40
"109",0,1,7,1892,1,"md_as_13","reciprocity","control",60
"110",0,1,8,1228,1,"md_as_13","reciprocity","control",180
"111",0,1,9,1801,0,"md_as_13","reciprocity","control",60
"112",0,1,10,1500,1,"md_as_13","reciprocity","control",340
"113",0,1,11,1004,1,"md_as_13","reciprocity","control",20
"114",0,1,12,1058,1,"md_as_13","reciprocity","control",120
"115",0,1,13,1704,1,"md_as_13","reciprocity","control",360
"116",0,1,14,1925,1,"md_as_13","reciprocity","control",180
"117",0,1,15,1661,1,"md_as_13","reciprocity","control",380
"118",0,1,16,1224,0,"md_as_13","reciprocity","control",380
"119",0,1,17,2256,0,"md_as_13","reciprocity","control",220
"120",0,1,18,1602,1,"md_as_13","reciprocity","control",20
"121",0,1,19,1468,0,"md_as_13","reciprocity","control",120
"122",0,1,20,2102,0,"md_as_13","reciprocity","control",240
"123",0,1,21,1449,1,"md_as_13","reciprocity","control",280
"124",0,1,22,1153,1,"md_as_13","reciprocity","control",380
"125",0,1,23,1856,0,"md_as_13","reciprocity","control",100
"126",0,1,24,2122,1,"md_as_13","reciprocity","control",160
"127",0,1,25,2587,0,"md_as_13","reciprocity","control",160
"128",0,1,26,1909,1,"md_as_13","reciprocity","control",280
"129",0,1,27,1569,1,"md_as_13","reciprocity","control",340
"130",0,1,28,1828,1,"md_as_13","reciprocity","control",320
"131",0,1,29,1607,0,"md_as_13","reciprocity","control",320
"132",0,1,30,1614,1,"md_as_13","reciprocity","control",100
"133",0,1,31,1221,1,"md_as_13","reciprocity","control",360
"134",0,1,32,1996,1,"md_as_13","reciprocity","control",300
"135",0,1,33,1879,0,"md_as_13","reciprocity","control",40
