"","subj_idx","blockno","trialno","rt","response","id","motive","condition","order","other_poss_loss"
"1",0,1,"1","1892",1,"saulin_01_vp_01","empathy","decay","treat_first",340
"2",0,1,"2","2001",1,"saulin_01_vp_01","empathy","decay","treat_first",300
"3",0,1,"3","2209",1,"saulin_01_vp_01","empathy","decay","treat_first",100
"4",0,1,"4","1629",0,"saulin_01_vp_01","empathy","decay","treat_first",40
"5",0,1,"5","2658",0,"saulin_01_vp_01","empathy","decay","treat_first",20
"6",0,1,"6","1663",1,"saulin_01_vp_01","empathy","decay","treat_first",380
"7",0,1,"7","1719",1,"saulin_01_vp_01","empathy","decay","treat_first",280
"8",0,1,"8","2297",1,"saulin_01_vp_01","empathy","decay","treat_first",340
"9",0,1,"9","2892",0,"saulin_01_vp_01","empathy","decay","treat_first",320
"10",0,1,"10","1880",1,"saulin_01_vp_01","empathy","decay","treat_first",240
"11",0,1,"11","1972",1,"saulin_01_vp_01","empathy","decay","treat_first",320
"12",0,1,"12","1930",1,"saulin_01_vp_01","empathy","decay","treat_first",360
"13",0,1,"13","2291",1,"saulin_01_vp_01","empathy","decay","treat_first",220
"14",0,1,"14","3082",0,"saulin_01_vp_01","empathy","decay","treat_first",60
"15",0,1,"15","3155",0,"saulin_01_vp_01","empathy","decay","treat_first",180
"16",0,1,"16","2436",1,"saulin_01_vp_01","empathy","decay","treat_first",380
"17",0,1,"17","3097",0,"saulin_01_vp_01","empathy","decay","treat_first",120
"18",0,1,"18","1794",1,"saulin_01_vp_01","empathy","decay","treat_first",380
"19",0,1,"19","2211",1,"saulin_01_vp_01","empathy","decay","treat_first",280
"20",0,1,"20","2192",0,"saulin_01_vp_01","empathy","decay","treat_first",380
"21",0,1,"21","2644",1,"saulin_01_vp_01","empathy","decay","treat_first",220
"22",0,1,"22","2843",0,"saulin_01_vp_01","empathy","decay","treat_first",240
"23",0,1,"24","2108",0,"saulin_01_vp_01","empathy","decay","treat_first",160
"24",0,1,"25","2543",0,"saulin_01_vp_01","empathy","decay","treat_first",180
"25",0,2,"1","2052",1,"saulin_01_vp_01","empathy","decay","treat_first",340
"26",0,2,"2","1312",1,"saulin_01_vp_01","empathy","decay","treat_first",300
"27",0,2,"3","2306",1,"saulin_01_vp_01","empathy","decay","treat_first",100
"28",0,2,"4","1827",1,"saulin_01_vp_01","empathy","decay","treat_first",40
"29",0,2,"5","2330",1,"saulin_01_vp_01","empathy","decay","treat_first",20
"30",0,2,"6","1452",1,"saulin_01_vp_01","empathy","decay","treat_first",380
"31",0,2,"7","2225",1,"saulin_01_vp_01","empathy","decay","treat_first",280
"32",0,2,"9","1081",1,"saulin_01_vp_01","empathy","decay","treat_first",320
"33",0,2,"10","1364",1,"saulin_01_vp_01","empathy","decay","treat_first",240
"34",0,2,"11","1057",1,"saulin_01_vp_01","empathy","decay","treat_first",320
"35",0,2,"12","1369",1,"saulin_01_vp_01","empathy","decay","treat_first",360
"36",0,2,"13","1384",1,"saulin_01_vp_01","empathy","decay","treat_first",220
"37",0,2,"14","2586",0,"saulin_01_vp_01","empathy","decay","treat_first",60
"38",0,2,"15","1742",1,"saulin_01_vp_01","empathy","decay","treat_first",180
