intercept;treatment;block2;block3;treatment:block2;treatment:block3
0.523507319;-0.051031339;0.14069482;0.047370929;0.045911629;0.000945904
0.593220067;0.004533372;-0.044889045;0.002780651;0.005992864;-0.048041958
0.562610788;0.102980134;0.027499405;0.066963072;-0.007365033;-0.020314705
0.470230843;0.089693776;0.016882041;-0.020280153;0.016661642;0.007344377
0.562931784;-0.009450091;0.038889115;0.055248002;0.018430485;-0.031240521
0.485759259;-0.024584935;-0.026672169;0.0126863;-0.035983836;-0.028984465
0.53247597;0.087084441;0.030962606;0.02206696;0.013802701;-0.081673287
0.534585266;-0.013836454;0.029670345;0.034798151;0.037154054;-0.049781245
0.367447488;0.046602327;-0.025380608;0.030240947;0.043366669;0.005309013
0.568332012;0.089241232;0.043441356;0.067858863;0.011678422;-0.05959378
0.471748859;0.029435172;0.024113096;0.007632896;-0.03087882;-0.075082723
0.499464412;0.13956159;-0.052236076;-0.021840277;0.019970399;-0.033417832
0.763443016;-0.284400713;0.154078244;0.009999631;-0.080863009;-0.042232956
0.531234418;0.103449988;0.028975332;0.034280602;-0.051173945;0.04761355
0.547256275;0.113504221;0.032998798;0.128211444;-0.02404514;-0.050396908
0.573612982;0.144534298;0.009821082;0.074314267;0.012380527;-6.17E-05
0.514052602;0.07528174;0.05314594;0.026617797;0.005934022;0.040388801
0.405496019;-0.029103137;-0.018527032;0.030909289;-0.025825635;-0.033066016
0.571209345;0.019168377;-0.053822162;-0.063806696;0.01798344;-0.034743948
0.507116788;0.037360743;0.031171415;0.001815794;-0.025912718;-0.022145962
0.561402356;-0.037971873;0.012154626;0.061556282;0.004807173;-0.038761106
0.451117535;0.060836013;-0.013360087;-0.00754684;0.017817508;0.04323854
0.476014797;0.080431707;0.021513988;0.082119144;0.018331008;0.002095486
0.531276292;0.064429916;0.063116748;0.088809633;0.023732383;0.062990771
0.334733588;0.085778684;-0.082988708;-0.135208077;-0.012746132;-0.057029631
0.566935598;-0.035090757;-0.014191252;0.089808593;0.009379592;0.056657729
0.435578654;0.01433481;0.014441041;0.039825222;0.017401995;-0.042897865
0.483808718;-0.046275592;0.099372981;0.030881742;0.023998355;0.008439622
0.59760899;0.092401825;0.038522458;0.058448773;-0.00302426;0.010178672
0.463892202;0.030591414;0.053335034;0.077587384;0.001790569;-0.019308779
0.623198204;0.042169283;0.037579992;0.022301213;-0.019345933;0.010033485
0.607345165;-0.029738767;0.012438472;0.184550043;-0.017571387;-0.039155197
0.598754382;-0.063607123;-0.028483595;0.053768096;-0.052024953;-0.068638439
0.365466182;0.083514176;-0.046948441;0.071209799;-0.014404461;-0.022457878
0.603470375;0.133373842;0.051820877;0.052983109;0.020677951;-0.04713822
0.689315757;-0.167525202;0.128322563;0.182625449;-0.028164312;-0.048520132
0.524542116;0.068258206;-0.029160283;0.118686256;-0.007335033;0.023560112
0.573606622;-0.090546686;0.068535299;0.057139727;-0.013683183;-0.034879005
0.517991434;0.047776299;0.041582409;0.005626484;0.060518633;-0.042085672
0.654952655;-0.137290414;-0.042508984;-0.053538635;-0.01593887;-0.025361317
0.40606917;-0.009882419;-0.00046198;0.006048218;0.019938783;-0.016999976
0.530066303;0.023186023;0.133849877;0.14094652;0.08342892;-0.026512914
0.580471912;0.0776014;0.022677003;0.157952989;0.035323685;-0.004646643
