stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.684319,0.675653,0.19909687,7.510007e-05,0.039714668,True,51.92857,0.043526698
mean_ub,1.6295106,1.7108356,0.45555362,0.006613742,0.21414284,True,46.122856,0.17851888
std_ub,0.7123855,0.6746545,0.27214333,0.0014236266,0.075485624,True,57.925713,0.13864376
10q_ub,0.8165,1.0689188,0.29715386,0.063715264,0.15201572,True,21.094286,0.849455
30q_ub,1.1555,1.3211349,0.3332335,0.027434928,0.13847947,True,35.305714,0.49705362
50q_ub,1.495,1.5471774,0.38578773,0.0027224845,0.15155467,True,48.4,0.13524908
70q_ub,1.9185,1.855538,0.49523452,0.0039642123,0.24922143,True,58.60857,0.12713571
90q_ub,2.653,2.535687,0.7723526,0.013762347,0.6102908,True,58.265713,0.15189052
mean_lb,-1.9227102,-1.9423587,0.5285412,0.000386065,0.27974188,True,52.018147,0.037175033
std_lb,0.8012539,0.7346809,0.34553927,0.004431965,0.12382934,True,59.74828,0.19266407
10q_lb,0.906,1.2331157,0.35231656,0.107004665,0.23113161,True,15.31099,0.9284709
30q_lb,1.417,1.5050877,0.39371014,0.0077594486,0.16276708,True,42.80404,0.22373752
50q_lb,1.854,1.765623,0.46125343,0.007810499,0.22056521,True,59.33265,0.19160189
70q_lb,2.319,2.1227,0.5899146,0.0385337,0.38653296,True,63.30455,0.33276007
90q_lb,3.082,2.849242,0.90962505,0.0541763,0.88159394,True,58.91702,0.25588349
