stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.5190197,0.5339673,0.24186242,0.0002234297,0.058720857,True,49.2,0.061801933
mean_ub,1.5956765,1.6739478,0.52717006,0.006126393,0.28403464,True,44.414814,0.14847444
std_ub,0.69136983,0.65997124,0.27575386,0.000985872,0.07702606,True,59.666668,0.113864586
10q_ub,0.799,1.0595642,0.34714365,0.06789372,0.18840241,True,28.51111,0.75059485
30q_ub,1.13,1.2867157,0.38985243,0.024559826,0.17654473,True,38.22222,0.40198734
50q_ub,1.4715,1.5022268,0.4567968,0.00094413804,0.20960742,True,48.037037,0.06726586
70q_ub,1.902,1.8097702,0.57517767,0.008506331,0.33933565,True,59.014816,0.16035005
90q_ub,2.5766,2.4890845,0.84950054,0.007658966,0.7293102,True,57.103703,0.10301997
mean_lb,-1.6300505,-1.7438408,0.5460549,0.01294822,0.31112415,True,60.503704,0.2083861
std_lb,0.7267578,0.68475175,0.32387534,0.0017645124,0.10665974,True,62.45185,0.12969835
10q_lb,0.6826,1.0960859,0.3462936,0.17097059,0.2908899,True,18.288889,1.1940328
30q_lb,1.1787,1.3360275,0.39480513,0.024751943,0.18062304,True,30.57037,0.39849406
50q_lb,1.579,1.5693059,0.46813104,9.3975636e-05,0.21924064,True,45.488888,0.020708097
70q_lb,1.9913,1.8958857,0.6008941,0.009103888,0.3701776,True,56.837036,0.1587872
90q_lb,2.599,2.5917506,0.9152006,5.2553485e-05,0.8376447,True,52.192593,0.007921081
